Countries,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Canada,260.3,271.7,285.5,308.3,320.5,344.9,351.6,368,393.7,400.2,398.1,412.9,436.4,424.6,430.7,440.6,420.7,407,388,408.4,403.5,393.4,406.7,437.4,457.4,444.8,428,441.9,438.4,453.2,471.5,480.6,494,508.3,513.2,533.1,535.8,548.7,557.8,555.3,555,547.9,575,559.4,531.6,545.6,549.4,545.5,559.3,564.5,564.3,545.9,561.5,571.5,558.8,500.1,510.2,519.7
Mexico,62.1,65.1,66.6,72.2,79.1,84.2,89.5,99.7,107.7,120.9,131.1,138.9,146.5,165.1,180.2,198.1,211,221.3,217.8,226.5,233.9,230.4,239.9,241,253.9,280.8,287.3,290.9,293.6,318,304.1,313.6,330.5,346.8,344.4,370.3,370.9,389.1,392.3,413.6,455.6,459.2,465,475.7,471.8,466.8,489.7,499.4,496.7,482.8,480.9,491.1,503.3,489,480.1,417.8,449.8,505.9
US,3451.9,3639.8,3738.2,3947.3,4117.4,4271.5,4309.1,4525.8,4739.5,4567.6,4386.8,4647.6,4791.3,4833.7,4921.1,4742.4,4596.2,4371.1,4332.1,4558.8,4576,4598.2,4749.9,4969.1,5058.1,4970.5,4922.6,5004.9,5117.6,5195.4,5227.9,5407.6,5483,5524.1,5574.1,5740.7,5650.7,5672.3,5737.6,5838.9,5873.2,5795.2,5884.2,5700.9,5289.2,5485.7,5336.2,5089.1,5246.6,5251.7,5137.5,5038,4978.8,5133.2,4981.6,4462.7,4768.4,4825.8
Argentina,82.2,84.5,86.9,89.3,92.2,85.9,90.8,91.6,94.9,97.1,93.1,97.8,102.1,99.5,106.1,101.7,97.2,97.2,100.1,97.8,94.6,100,104.6,109.9,107.2,100.3,102.8,108.9,107.7,114,118.9,126.3,125,132,136.5,131.4,120.7,116,125.4,137.1,145.3,151.2,164.3,165.8,158,166.9,173.1,181.8,187.6,187.8,191.2,190.1,188.5,186,174.6,162.3,184.7,190.1
Brazil,51.5,56.2,58,68.1,74.3,85.1,96.1,106.8,127.3,139.3,145.1,156,162.1,176.4,186.5,185.2,179.1,181.8,173.5,179.8,185,199.4,205.8,207.6,211.4,206.4,213.4,212.4,222.5,234,253.6,271.5,289.1,298.5,301.2,319.4,328.2,327.3,324.6,341.7,345.3,351.1,371.2,393.6,368.8,410.6,428,457.8,487,511.7,494.8,455.9,461.7,442.1,435.5,408.4,461.6,443.3
Chile,16.5,17.8,18.1,18.6,19.7,20.8,22.2,21.8,21.2,20.6,18,18.6,19.5,20.2,21.5,22.1,21.9,19.2,19.6,20.7,20.2,20.6,21.3,25.3,30.8,31.7,32.7,33.4,35.6,38.8,42.3,47.6,54.9,56.4,58.3,55.5,53.8,54.3,55.3,62.7,63.8,64.3,74.6,76.2,71.5,74.6,82.8,85.5,88.9,87.2,87.4,92.2,93.9,93.5,94.8,85.1,93.7,89.7
Colombia,23.8,26.7,27.9,28.4,28.4,31.2,29.9,34.6,32.4,36.5,34,35.2,36.3,36.7,37.4,38.1,38.8,39.6,42.2,41.6,42.5,42.9,47.7,45.7,47.8,42.2,44.1,51.8,53.6,56.5,57.7,57.4,61.8,63.1,55.2,55.1,55.3,53.4,53.6,56.2,53.1,66.8,66.7,70.7,71.7,77.5,75.7,83.9,89.6,95.4,88,102.6,95.7,97.4,99.7,89.6,96.8,103
Ecuador,2.1,2.2,2.3,2.8,2.9,3.5,3.8,3.8,4.3,4.8,4.8,5.6,6.8,6.9,7.3,9.2,10,10.9,10.1,10.6,12.8,13,13.1,15.6,15.8,16.6,18.7,18.8,18.8,20.2,19.9,22.5,25.7,25.7,22.4,20.3,20.9,20.3,20.7,23.1,25.2,26.7,27,27.6,27.9,32.2,32.8,34.2,36.5,38.4,37.6,35.4,34.3,37.1,35.7,29.1,36.1,38.5
Peru,12.1,15,15.1,15.2,15.2,16,16,13.8,15.9,18.6,19.6,19.8,19.9,19.7,20.4,22,22.5,22.5,19.1,19.9,19,20.4,22.5,22.1,19.8,19.5,18.6,19.2,19.9,21.6,24.1,25.2,24.5,25.1,25.5,25.7,24.1,24.8,24.1,27.3,28.2,26.9,30.5,33.9,33.7,39,43.8,44.8,46,46.8,49.2,53.2,51,52.8,54.4,43.4,51.6,56.8
Trinidad & Tobago,7.7,8,8.5,8.7,9,9.7,9.9,14.3,14.2,13.3,10.2,11.7,11.7,11,9.1,8.6,9.6,9.9,9,8.1,8.4,9.1,8,8.3,8,9.6,9.1,10.6,10.7,10.2,11.3,11.8,10.8,10.3,12.4,13.2,13.9,15.7,18.1,19.2,19.1,22.4,23.6,23.8,22.2,24.7,24.6,24.2,25.5,24.8,23.9,21.9,21.3,20.6,17,15.2,15.5,15.1
