Countries,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Australia,0.10327453,0.112367598,0.117397427,0.079865465,0.057808196,0.065139702,0.078183266,0.099788319,0.117282803,0.131935028,0.154431329,0.162981917,0.167074887,0.10467745,0.090960794,0.089777151,0.083701062,0.135168631,0.146529203,0.172646477,0.196787419,0.205885591,0.22825656,0.242664861,0.264819247,0.304273263,0.356815524,0.380314886,0.410023669,0.446054513,0.476517182,0.509293931,0.545370929,0.567173164,0.588808405,0.627082475,0.711458182,0.758524493,0.761422925,0.793935027,0.825445371,0.893861762,0.943738499,0.978552517,1.020432285,1.069976413,1.188487546,1.073950892,1.069859638,1.060937633,1.053991776,1.077212464,1.104237871,1.15837713,1.134136204,1.036673776,1.080726292,1.126452969,1.118304056,1.105203034,1.14335589,1.182889176,1.192300803,1.174265498,1.156578866,1.179253756,1.324795522,1.191953358,1.20236782,1.23739281,1.197331584,1.233316016,1.332894704,1.302711539,1.453436028,1.501147245,1.635910893,1.71564223,1.853818676,2.005987727,2.171539666,2.045721147,2.094758289,2.165069163,2.206548443,2.30539228,2.490448341,2.607414749,2.685343875,2.769445003,2.734675176,2.7088319,2.685450235,3.005519938,2.897692738,2.851891398,2.861409124,2.873385933
Austria,0.057160445,0.071833676,0.079143395,0.071734316,0.056698214,0.048174317,0.051219936,0.057927667,0.059161342,0.066404999,0.092693292,0.102993123,0.112179846,0.125728271,0.112358713,0.122825675,0.090263619,0.081878593,0.079100155,0.066868069,0.113180285,0.159752299,0.189426482,0.218943193,0.21956475,0.223552842,0.252720048,0.286092777,0.303634829,0.332478311,0.344401745,0.380489012,0.435981047,0.477959957,0.489016049,0.526918656,0.589644597,0.636882039,0.703658551,0.728870682,0.745054297,0.758850934,0.797845665,0.887621493,1.004030427,1.02488026,1.063931765,0.996010206,1.027750956,1.053032902,1.03981244,1.042112833,1.063148607,1.024267168,0.998498639,0.990107159,0.994006572,1.01085714,0.97452934,0.972067143,1.004267249,1.014365848,1.187069346,1.183596291,1.157351857,1.180100968,1.391950782,1.442924091,1.464198269,1.536443762,1.661799786,1.663317209,1.683684218,1.665709286,1.689890394,1.745355632,1.768371127,1.839785523,1.857773199,1.870321804,1.847094836,1.866522848,1.871758099,1.873272958,1.876862467,1.860619548,1.845848862,1.852056889,1.873643844,1.919825888,1.915506843,1.969219742,1.819372837,1.995146665,2.070379159,2.021649428,2.057509589,2.099472506
Belgium,0.235894751,0.285503237,0.291140247,0.303911087,0.241294065,0.228635872,0.22580415,0.251090729,0.268817096,0.32631075,0.342611967,0.313186653,0.315460676,0.170627545,0.14412943,0.131235575,0.136295991,0.137611156,0.232449739,0.300827252,0.371464128,0.357396107,0.413568642,0.492461849,0.490037936,0.540583876,0.536693168,0.570344642,0.581001115,0.594426793,0.554093249,0.585516336,0.590383753,0.625567627,0.639965589,0.642519828,0.737995945,0.76257516,0.768882325,0.781891667,0.786466823,0.836548517,0.886921372,0.916039033,0.940027373,0.946497746,0.986326016,0.953602847,1.001856441,1.030850162,1.035411758,1.058926733,1.076195775,1.018692071,0.995080799,0.9580774,0.960394618,0.93824718,0.97894614,0.992481656,1.061986035,1.117187321,1.13421374,1.16828994,1.22927464,1.243752206,1.287338376,1.32382811,1.319721147,1.365516889,1.37817314,1.211078079,1.28617021,1.278101425,1.252381392,1.27463477,1.328619131,1.355202368,1.388165194,1.483996509,1.403334663,1.487305207,1.514315536,1.500308851,1.535859985,1.508601323,1.544020745,1.586085715,1.604528021,1.740048787,1.695205013,1.758559988,1.725732047,2.010126109,2.078307922,1.973121976,1.992543444,2.023259818
Bulgaria,0.014260417,0.021924072,0.026679485,0.018852237,0.023120336,0.021523754,0.02290661,0.022568571,0.02256672,0.024534355,0.030982233,0.032185707,0.032905078,0.026349549,0.025853439,0.02584083,0.025948868,0.04182085,0.044828409,0.052724096,0.057858961,0.076006481,0.092673963,0.107778411,0.116940847,0.12387827,0.137290133,0.145311121,0.154825434,0.161033075,0.171188004,0.240574772,0.272523512,0.303657517,0.332065248,0.382529179,0.451409622,0.47408274,0.50865221,0.587128163,0.626522796,0.646545856,0.673942938,0.711477735,0.727365354,0.770593804,0.797779268,0.815380709,0.824620988,0.870199278,0.943064537,0.991106018,1.000297219,1.020136832,1.0507076,1.064815451,1.082299598,1.028962586,1.087010623,1.07211476,1.080643059,1.085533561,1.006712856,0.747739415,0.675863469,0.669066072,0.730843251,0.858229815,0.438614687,0.370298513,0.406449001,0.438753325,0.412665235,0.594432902,0.471749143,0.411523841,0.502031929,0.596689793,0.789196712,0.833403076,0.916187151,0.724846736,0.66195062,0.636083429,0.612517563,0.596923361,0.615148128,0.644531236,0.666413334,0.749473403,0.76097132,0.793468457,0.807143122,0.802403967,0.829219329,0.817056337,0.836027665,0.858923233
Canada,0.228961389,0.284100957,0.292143934,0.268820354,0.157226551,0.100005881,0.112998391,0.1125212,0.142075969,0.170995502,0.163587167,0.169429561,0.209489312,0.23320638,0.25518199,0.223800767,0.220789303,0.248231219,0.317173602,0.336877141,0.389959968,0.438686055,0.466834334,0.48422196,0.524156585,0.61219077,0.634874961,0.703667315,0.793866869,0.936993353,0.980129017,1.016729411,0.976341156,1.032790237,1.113311694,1.170305477,1.30108481,1.390516774,1.501601119,1.408438767,1.452338379,1.485237954,1.471476537,1.622238093,1.772697921,1.948870736,2.039686753,2.004066306,2.011439978,2.039593888,2.184347049,2.381817236,2.270317871,2.238920524,2.031525472,1.949423511,2.041727983,2.186236701,2.355960564,2.659781284,2.698266519,2.775216823,2.352433907,2.075039129,1.742766976,1.699473325,2.008325984,2.068547648,2.079441646,2.260799469,2.217073804,2.414893921,3.213610397,3.35242652,3.509597991,2.957517115,3.014013886,3.121940606,3.272098085,3.371747437,3.838468597,3.241786839,3.431732668,3.50384203,3.628851535,3.581929349,3.620616708,3.670454451,3.825786292,4.146497023,4.337304291,4.487133779,4.461663848,4.579618625,4.718846261,4.969468527,5.053329748,5.107263073
Croatia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.133586677,0.139136473,0.135084026,0.178781326,0.216369564,0.258357827,0.287671546,0.283863528,0.24919794,0.295084953,0.340338061,0.412975987,0.430886863,0.384170265,0.395900218,0.428778825,0.422545477,0.381137001,0.319369505,0.305128155,0.273149586,0.218921883,0.202512832,0.20404539,0.223552758,0.181604976,0.217222878,0.324310349,0.326303961,0.340333774,0.365211969,0.36213495,0.365366985,0.368627542
Cyprus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010947398,0.012467462,0.013837633,0.015063774,0.015844381,0.01640463,0.013331033,0.016875655,0.017559491,0.029525877,0.038153947,0.040786603,0.045070577,0.051357689,0.068828626,0.075899609,0.063602216,0.100647463,0.159550366,0.176147729,0.187488351,0.196569751,0.214280149,0.193714666,0.198589424,0.184601719,0.172889613,0.147036869,0.171155283,0.172999883,0.176484215,0.201321958,0.11667666,0.158006235,0.149924104,0.155755708,0.081241845,0.088054429,0.089837644,0.0645038,0.126095037,0.140121796,0.156616019,0.189921236,0.18457395,0.216753429,0.268453919,0.273674875,0.273957729,0.308301161,0.335015892,0.281576156,0.260970637,0.262460291,0.222680884,0.117137516,0.313361811,0.127040539,0.110038246,0.269388469,0.321553357,0.326737515,0.355108263,0.360059477,0.417552757,0.443177903,0.456510838,0.466480043
Czechia,0,0,0,0,0.110962667,0.104163236,0.115917195,0.128792584,0.141650694,0.17909675,0.188496202,0.195141748,0.200714645,0.096871222,0.086882424,0.085474794,0.083509608,0.113073064,0.144743962,0.200778853,0.237548882,0.257683135,0.28093581,0.311314776,0.335213431,0.356687132,0.391434364,0.437256909,0.478051665,0.546875047,0.611790236,0.693975471,0.755612536,0.810230602,0.88625626,0.844694135,0.888119109,0.928917037,0.991067747,1.022253269,1.083179716,1.147931099,1.214739716,1.281078987,1.299197926,1.334669943,1.391840009,1.426089021,1.449118024,1.463721353,1.496869115,1.496337177,1.509492911,1.506799198,1.471613626,1.467956678,1.454628774,1.419129806,1.402641468,1.389027404,1.407746154,1.38697215,1.362834155,1.287379864,1.316076712,1.099720722,1.055135817,1.049486595,1.080278757,1.19233917,1.060530863,1.035543165,1.03908043,1.052808436,1.095174773,1.132149065,1.189878787,1.218248177,1.267987645,1.339996228,1.365462421,1.289963337,1.269602374,1.326980811,1.331245124,1.331054147,1.393949051,1.428782988,1.476117557,1.528687659,1.535136553,1.650086405,1.690927597,1.753437043,1.792878149,1.843436966,1.897810117,1.953098471
Denmark,0.112131612,0.129941018,0.134153214,0.099435974,0.084019152,0.102648652,0.136485968,0.140427015,0.148526929,0.134848825,0.129777861,0.138205925,0.103482104,0.097253546,0.098021607,0.127401994,0.132611051,0.073380075,0.107355568,0.129386748,0.15266576,0.166613128,0.176134836,0.195582186,0.232826926,0.247106483,0.246956848,0.25539722,0.248489184,0.247034727,0.234699242,0.281073535,0.295797691,0.321322115,0.334039656,0.323829205,0.38004592,0.403842739,0.426255772,0.448394462,0.467046578,0.521465608,0.532684123,0.554496474,0.560271567,0.581076832,0.529363057,0.488717704,0.497516204,0.489449395,0.5298207,0.503558055,0.450959756,0.394189183,0.406070172,0.391014909,0.390058153,0.397556097,0.432239233,0.420221882,0.397006842,0.431214423,0.414709139,0.401574606,0.404139277,0.484433298,0.47803511,0.476530118,0.531597375,0.680673046,0.521319925,0.523744424,0.520914261,0.470496954,0.462845473,0.467660823,0.521401042,0.514242967,0.596565921,0.629262833,0.609223688,0.525084923,0.497060559,0.515685144,0.512710752,0.524112213,0.530126887,0.557504273,0.592916658,0.634195589,0.635336767,0.676785188,0.725523872,0.693731244,0.819417856,0.825681635,0.842060475,0.85722615
Finland,0.030112708,0.034043028,0.027978823,0.023841539,0.022928122,0.024036605,0.032817807,0.038949823,0.045711771,0.055826445,0.065138705,0.077090137,0.080112464,0.0546438,0.038742592,0.042863232,0.036637303,0.046284535,0.053014372,0.063825131,0.080812338,0.094946817,0.107832392,0.120696546,0.118983168,0.13800156,0.153298594,0.159428283,0.152488603,0.152338507,0.151641477,0.179348148,0.193415453,0.20740118,0.213725853,0.225092138,0.244758196,0.271524318,0.255564736,0.252692941,0.25056799,0.282811322,0.301468622,0.300599411,0.322743806,0.340334024,0.35833187,0.34966871,0.32700233,0.314666757,0.314444483,0.321176042,0.329578587,0.334698967,0.343385385,0.351970564,0.328284789,0.323251619,0.305894617,0.306531871,0.316986443,0.331048626,0.356006221,0.318637779,0.290879554,0.267233897,0.265832278,0.270173126,0.278685454,0.301700147,0.323900272,0.345242777,0.365424836,0.363163219,0.353326554,0.364779423,0.378093894,0.387170926,0.410923591,0.455969808,0.465010454,0.377827253,0.435854553,0.448367758,0.434721008,0.430066619,0.433826245,0.438814178,0.475937462,0.457825232,0.463253817,0.468282304,0.475393362,0.483457406,0.499247632,0.511520976,0.522905943,0.53387487
