Countries,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Australia,7.04659672,6.0662403,5.168216771,5.377873001,6.404658692,6.048690353,6.312273006,6.484990252,6.714431088,7.342330042,7.728003219,7.310162331,8.090256759,8.512484296,9.138642449,10.23974515,10.40406533,10.87401402,11.9252814,10.89474799,10.49207217,10.96425204,11.01495409,11.09351426,12.50774669,13.17484338,13.40151054,14.01250383,10.14893587,9.88892105,9.594009972,14.67776499,9.988334085,10.0885078
Austria,4.748145,5.016,5.031,4.941,5.919386184,6.233666704,5.026123504,5.255309728,5.339925712,5.15280729,4.921182818,4.664669055,4.883992434,4.846132273,4.961412225,5.933754687,5.717466832,5.860168297,5.879722401,5.264194961,5.060459987,5.264144,5.161991612,5.140662495,5.237983168,5.370993565,5.364361518,5.85772187,6.041133972,6.109280412,4.808928004,6.447743866,6.51579513,5.683264741
Belgium,6.8025,7.184,8.073,7.612,8,8,7.857,8.052,7,4.932608314,5.942318143,5.499422532,4.717302455,4.817640974,5.49885431,5.441974156,6.300982899,8.05076604,4.664697421,8.079359053,8.017749221,6.122817961,6.625147252,5.306306825,5.191129758,6.040390262,5.94013365,8.477634799,5.895821899,6.910693668,3.554368233,10.15821796,9.831356606,6.373428566
Bulgaria,5.5327,2.374,2.132,2.007,2.2,2.1,0.301637556,0,0.874774587,0.915276789,0.669391221,1.98470774,1.224095581,0.945311361,1.323066409,1.510812918,4.062593807,4.132822817,4.893891308,3.064316221,3.295375279,2.116188837,1.872275286,1.67999002,1.753945339,1.905750448,1.840125027,1.999705524,2.34901779,2.46893075,2.106950056,2.088462851,2.030433457,1.805864428
Canada,9.000588,7.211324,3.307068096,3.49838,6.815368,6.465213,6.864338,7.434166,6.951905152,7.84426,12.60799741,12.78888372,13.07468379,8.575881666,8.762178241,9.430346186,9.976004817,10.52472559,14.7394517,8.480995228,10.21817852,10.09194216,10.21181375,9.691615752,9.692931049,9.551091892,10.397748,12.1625806,12.03619039,13.11992669,12.3785,13.328772,13.699152,15.19373677
Croatia,0,0,0.974767256,0.99142448,0.695490972,1.264084032,1.600912304,1.84813896,2.031073776,1.824803696,1.580683953,1.815416138,2.198917289,2.794327698,2.90830911,2.358328701,2.434153222,2.699901984,2.666601495,2.180062127,1.599830411,1.542995426,1.532217193,0.956411637,0.930784765,1.012391861,1.071909055,0.724510614,0.99223562,1.908040164,1.768191002,1.592860903,1.918897356,1.828029142
Cyprus,0.523879984,0.759547984,0.696797992,0.710927,0.353096993,0.492374613,0.47072064,0.265167892,0.73953073,0.749259399,0.66617706,0.962855707,1.010880181,1.314336907,1.54195892,1.593633319,1.559311248,1.840780156,1.96695326,1.439216043,1.348161607,1.23499777,1.051936392,0,0.72789211,0,0,1.100916163,1.35860591,1.536204,1.496014,1.439406007,1.856339188,1.939917005
Czechia,10.7933,8.299,8.5,3.651376496,3.33640152,3.635571584,3.931594464,5.359106336,3.553098048,3.340715191,3.272769097,3.41482069,3.935114556,4.051109768,4.458961536,4.592678362,4.881744625,5.321603267,5.15572429,4.064240683,3.549314691,3.987100599,3.590559462,3.523878939,3.798634317,3.979463106,4.011495812,4.266370097,3.669219739,4.57056154,4.512989196,4.720000036,4.493665495,4.476000012
Denmark,1.80245736,1.316159056,1.152971904,1.853944832,1.941838528,1.522065632,2.1591792,3.043518912,1.5698372,1.762836697,1.675939315,1.015700007,0.962645116,0.964894471,1.248386743,1.190380222,2.006285034,2.066651603,1.957606107,1.290599991,1.52450855,1.346050933,1.254276532,1.321897126,1.333240678,1.384349296,1.354608719,1.792945728,1.649121639,1.910957556,2.261180642,1.974787383,2.51,2.568744796
Finland,1.807055657,1.49447615,1.249491143,1.018921832,1.049394273,1.095721022,1.210522428,1.169094864,1.281898452,1.749823689,1.863180706,1.76206192,1.595341438,2.007311705,2.140896373,1.73161055,2.172018797,2.404630783,2.276473854,1.383726688,1.661418391,2.096687109,2.019875516,1.723352951,1.694330313,1.721670542,1.803821501,1.510025442,1.471042585,1.434716529,1.469932051,1.447374946,1.50002027,1.49996108
