Countries,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Australia,766,720,708,396,251,326,417,559,656,730,862.539,881.778,879,390.171,337.947,351.887,313.976,704.4,734.4,896.4,1029.6,1047.6,1177.2,1236,1357,1598.087232,1913.952499,1991.042726,2134.989965,2322.087264,2459.041805,2615.098349,2791.962432,2856.943354,2933.010259,3119.084237,3625.969536,3801.980851,3674.065651,3816.989568,3928.019962,4310.060026,4508.697,4683.748,4934.987,5246.088,6111.366,5015.71,5061.06,5021.152,4992.128,5241.553,5494.606,6004.34,5743.124,4835.217,5461.954,5986.2,5926.338,5867.383,6398.885,6900,7068,6108,5412,5500,6000,6000,6250,6450,6850,7450,7500,7500,7550,8000,8000,9000,9000,9200,9400,9200,8300,8600,8600,8400,9000,9500,9600,9700,10200,9900,9600,9800,10000,10098.23404,10196.46809,10294.70213
Austria,523,582,602,500,351,280,315,371,369,426,650,700,750,842,682,773,450,400,387.68,281.271,721.379,1091.012,1280.4,1474.947533,1402,1393.934573,1621.964736,1859.03424,1935.953914,2129.020589,2154.091968,2417.085619,2829.995885,3083.950195,3057.002726,3311.980358,3769.064006,4043.99641,4501.080058,4547.982298,4553.098906,4558.04496,4805.286,5490.071,6343.558,6258.3,6433.351,5628.842,5879.174,5991.642,5734.054,5662.401,5759.45,5286.903,5011.175,4905.963,4897.8,4988.5,4567.652,4521.395,4761.75,4748.145,4748.145,5016,5031,4941,5000,5000,3874,3852,3850,3950,3900,3802,3918,3886,3976,4736,4852.2,5202.5,5309.2,4646,4254,4427,4455,4385,4500,4700,4600,5058,5421,5264,5404,5400,5600,5683.264741,5743.389481,5798.926878
Belgium,3046,3248,3050,3050,2100,1950,1900,2200,2350,3008.016,3054.144,2551.756,2551.756,630.58,510.67,459.52,600,646.898,1889.777,2609.174,3330.948,2924.998,3557.231,4394.995718,4111.023974,4626.095846,4375.040947,4689.030125,4663.958746,4705.062163,4056.958483,4438.998547,4388.003021,4751.964403,4797.331661,4708.984896,5846.065747,5905.077293,5796.093542,5819.971046,5740.151962,6269.038675,6727.219,6934.751861,7102.731705,7055.617766,7489.841289,6909.575934,7538.736274,7806.05508,7623.891261,7758.606779,7773.893241,6752.173755,6383.812777,5781.905864,5783.956028,5330.297998,5840.871374,5775.213198,6555.8836,7014.460475,6802.5,7184,8073,7612,8000,8000,7857,8052,7000,7500,8000,7157,6980,6550,6715,7000,8192.136,9570.99,6225.144,9403.423,8722.477,6954,7000,6119,6120,6400,6290,6491,6500,7857,6820,7400,7300,7289.036006,7252.66742,7264.449439
Bulgaria,108,151,174,104,139,121,130,124,122,135,180,180,180,126.044,126.044,126.044,126.044,245.1,250,300,325,450,550,634.9710528,674.0278272,700.975296,779.9416128,812.0056896,859.0784832,880.056576,933.9515136,1432.991347,1584.954605,1749.027168,1892.974406,2205.087494,2632.324262,2681.102592,2856.090586,3358.02983,3516.133018,3552.119827,3667.001,3875.611,3910.984,4176.735,4297.366,4355.414,4360.856,4663.794,5148.132,5400.278,5357.649,5442,5612.516,5642.447,5715.914,5214.343,5700.495,5492.792,5533.607,5532.7,5532.7,2374,2132,2007,2200,2100,2137,1656,1700,1700,1700,2088,2137,2100,2100,2100,4092.692,4413.346,4902.706,2661.626,3000,1866,2000,1812,1785,2114,1994,2117,2331,2456,2000,1989,1952,1952,1952,1952
Canada,1759,1945,1872,1619,737,383,553,554,784,975.231,876.193,909.875,1200.143,1328.587,1448.818,1159.286,1141.595,1344.934,1835.302,1894.956,2242.773,2526.858,2646.809,2700.034042,2940.002957,3529.947859,3562.011936,3996.070848,4555.998317,5488.073741,5582.048774,5701.095187,5249.980915,5629.974336,6124.068115,6364.03703,7176.04272,7578.037555,8157.067027,7160.010682,7408.16617,7484.062522,7206.115,8238.472267,9113.635711,10149.06922,10451.86634,9855.724854,9733.481666,9767.988423,10719.0989,11968.34432,10699.14852,10360.73299,8622.065394,8069.91075,8843.676953,9840.016128,10935.82299,13025.24828,12790.36741,13065.76181,11249.521,9396,5698,6672,10584,10722,11587,12015,12124,12634,12612,12793,13079,13416,13863,14179,14335.5,15077.6,13672.4,10985,12431,12001,12465,11611,11879,12167,11870,12706,13554,13120,13000,14000,15000,15193.59547,15193.59152,15193.59254
Croatia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1768,1683,1700,1700,1842,2134,2295,2712,2852,3246,3378,3654,3811,3520,3597.965,3587.202,3636.696,2838.03,2664,2467,2500,2436,2471,2449,2300,2608,2828,2968,2976,2764,2890,2890,2890,2890
Cyprus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83.0596032,83.0596032,88.0056576,92.951712,94.9983552,96.0216768,69.926976,98.06832,98.921088,186.9267456,237.922272,243.03888,265.751,302.938,422.662,450.779,338.311,621.295,1024.91,1071.167,1106.54,1134.657,1233.52,1034.887,1067.539,942.373,852.58,659.389,863.464,853.487,867.092,1042.143,1133.75,1134,1131,1089,1053,1021,1000,910,1200,1200,1200,1369,1438,1637,1689,1805,1786.488,1872.531,1870,1480.843,1328.763,1207,1300,855,735,788,1099,1319,1358,1537,1496,1440,1858,1939.907387,1955.959004,1959.105019
Czechia,0,0,0,0,1081,850,910,980,1050,1360,1360,1360,1360,300,320,350,350,650,920,1404,1650,1738,1875,2080.071706,2210.033549,2320.040621,2562.056179,2892.077395,3148.078349,3672.019008,4110.000653,4700.116109,5051.115418,5343.103181,5849.98848,5178.007296,5493.019795,5713.033939,6130.037491,6208.15104,6605.505027,7002.859013,7400.213,7954.39,8038.741,8378.866,8964.788,9297.657,9549.803,9746.622,10201.936,10255.449,10542.968,10643.645,10322.567,10495.804,10527.549,10249.1,10296.264,10367.01,10971.979,10885.814,10793.3,8299,8500,5393,5303,4825,5015,4877,4604,4241,4093,3550,3217,3465,3829,3978,4238.818,4898.53,4710,3637,3345,3831,3350,3211,3511,3781,3937,4043,4428,4569,4513,4720,4476,4476,4476,4476
Denmark,779,799,779,509,415,554,770,757,792.369,676.125,639.957,696,441,421.137,434.765,639.038,646.837,219.996,501.835,633.56,769.064,834,873,984.94704,1211.953882,1260.049997,1222.016544,1259.026675,1186.029734,1165.051642,1068.006643,1390.01184,1442.030688,1583.931283,1627.934112,1520.997005,1898.091014,1995.47712,2097.80928,2200.14144,2278.084435,2607.08233,2603.09,2732.791,2748.21,2886.981,2491.529,2236.662,2354.572,2308.315,2625.765,2389.945,1995.4,1601.762,1769.557,1657.089,1667.973,1738.719,2028.959,1886.56,1680.671,1995.4,1995.4,2016,2072,2270,2430,2000,2629,2683,2528,2600,2650,2047,2028,1953,2150,2200,2937,2871,2539,1578,2000,1811,1798,1830,1876,1900,1900,2360,2200,2250,2490,2670,2510,2510,2510,2510
Finland,280,278,203,162,154,163,241,284,332.557,410.371,475.162,563,563,307.087,178.802,238.279,180.221,277.679,329.792,417.737,555.8,655.984,743,829.0610496,778.0655232,937.0214784,1040.035853,1056.067891,960.0462144,946.0608192,925.0827264,1169.997696,1253.057299,1341.062957,1356.924442,1428.045293,1571.992531,1770.005261,1556.983814,1514.004307,1475.970854,1759.08983,1873.862,1810.372,1983.609,2091.542,2202.196,2062.518,1824.884,1711.509,1703.346,1748.696,1799.488,1814.907,1862.071,1906.514,1645.298,1596.32,1421.269,1425.804,1503.806,1596.32,1541.9,1324,1129,835,864,900,975,905,903,1310,1350,1325,1198,1493,1691,1321,1684.507,1742.534,1745,1052.226,1050,1514,1500,1300,1250,1300,1300,1510,1460,1430,1470,1500,1500,1500,1500,1500
