Countries,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Australia,0.400622252,0.376563997,0.37028793,0.207110198,0.131274393,0.17049981,0.218093315,0.292360103,0.343091641,0.381794052,0.451112685,0.461174789,0.459721879,0.204061599,0.176748157,0.184038854,0.164211191,0.36840511,0.384095277,0.468822176,0.538486515,0.547900615,0.615682135,0.646434861,0.709718533,0.835808493,1.001007782,1.041326398,1.116611603,1.214464529,1.286092514,1.367710953,1.46021185,1.494197233,1.533980647,1.63129837,1.896402195,1.98845709,1.92155673,1.996306732,2.054376245,2.254185319,2.358073559,2.394518899,2.464899009,2.558562356,2.90866175,2.328178917,2.289682736,2.21255081,2.141025906,2.186329163,2.227233736,2.363209048,2.192827201,1.789282676,1.956944682,2.074343486,1.983872876,1.895103848,1.991486487,2.06626256,2.033412,2.004981,2.105,2.031869,2.102255,1.631326,1.634247,1.760917,1.598674,1.607357,1.711556,1.719922,1.735653,1.754471,1.79,1.79748,1.954142,2.130776,2.132968,1.79859,1.622129,1.66568,1.672547,1.656405308,1.638991068,1.701496832,1.728526668,1.710388737,1.826655752,1.770523147,1.821123234,1.888797074,1.867485914,1.885830984,1.904176053,1.922521122
Austria,0.278236,0.309624,0.320264,0.266,0.186732,0.14896,0.16758,0.197372,0.196308,0.226632,0.3458,0.3724,0.399,0.447944,0.362824,0.411236,0.2394,0.2128,0.20624576,0.149636172,0.383773628,0.580418384,0.6811728,0.784672087,0.745864,0.741573193,0.86288524,0.989006216,1.029927482,1.132638953,1.145976927,1.285889549,1.505557811,1.640661504,1.62632545,1.761973551,2.005142051,2.15140609,2.394574591,2.419526582,2.422248618,2.424879919,2.556412152,2.920717772,3.374772856,3.3294156,3.422542732,2.994543944,3.127720568,3.187553544,3.050516728,3.012397332,3.0640274,2.812632396,2.6659451,2.609972316,2.6056296,2.653882,2.429990864,2.40538214,2.533251,2.52601314,3.47504472,3.19875136,2.94775432,2.9822034,3.49942824,3.35911464,3.24501072,3.18280088,3.4898108,3.50304735,3.6063577,3.5339755,3.49448605,3.61118285,3.570501,3.6611212,3.89156075,3.98973685,3.87909665,3.8424331,3.55836635,3.50559825,3.53354155,3.31028995,3.15623715,3.09734645,2.95701948,3.01278366,2.93948622,3.03774138,2.83278708,2.89800342,3.057502433,3.102963531,3.135790591,3.166113043
Belgium,1.533661,1.635368,1.535675,1.535675,1.05735,0.981825,0.95665,1.1077,1.183225,1.514536056,1.537761504,1.284809146,1.284809146,0.31749703,0.257122345,0.23136832,0.3021,0.325713143,0.95150272,1.313719109,1.677132318,1.472736493,1.791065809,2.212880344,2.069900571,2.329239259,2.202833117,2.360926668,2.348303228,2.368998799,2.042678596,2.235035769,2.209359521,2.392614077,2.415456491,2.370973895,2.943494104,2.973206417,2.918333099,2.930355422,2.890166513,3.156460973,3.387154767,3.457401969,3.506075173,3.447976167,3.623188021,3.308365147,3.572384375,3.660510547,3.537439326,3.56163251,3.530260358,3.032935764,2.835950775,2.54000656,2.512344537,2.288969258,2.47937908,2.422988488,2.718143814,2.873635781,2.80481247,2.860145,3.10051044,3.09528,3.1932306,3.2697864,3.0277746,3.1780296,3.1894398,3.131541,3.2878602,2.9355852,3.0146904,2.9504552,2.8429885,2.9443302,3.1097304,3.0959118,3.044385,2.7714798,2.5597944,2.783143,2.6295084,2.5349328,2.6568685,2.3298641,2.451922,2.2883688,2.533003,2.8211904,2.649427,2.6795505,2.684540114,2.680508157,2.667133783,2.671466565
Bulgaria,0.055404,0.077463,0.089262,0.053352,0.071307,0.062073,0.06669,0.063612,0.062586,0.069255,0.09234,0.09234,0.09234,0.064660572,0.064660572,0.064660572,0.064660572,0.1257363,0.12825,0.1539,0.166725,0.23085,0.28215,0.32574015,0.345776275,0.359600327,0.400110047,0.416558919,0.440707262,0.451469023,0.479117126,0.735124561,0.813081712,0.897250937,0.97109587,1.131209885,1.350382347,1.37540563,1.46517447,1.722669303,1.803776238,1.822237471,1.881171513,1.977349272,1.984458591,2.107621025,2.156473878,2.173422049,2.163941409,2.301221593,2.52580682,2.63441287,2.598633121,2.624326094,2.690858093,2.689427582,2.70845898,2.456208631,2.669266878,2.556647535,2.560168887,2.544275598,2.1527748,1.271214,1.101654,1.1576574,1.4475294,1.998324,1.968354,1.5778746,1.114263,1.110296,1.2161765,1.2318075,1.222276,1.280015,1.4544035,1.6100748,1.5442866,1.968219,1.8953028,0.9851905,0.8027115,0.782121,0.9748131,0.88828,0.9099676,1.0990557,1.1962365,1.2332358,1.2176644,1.1275803,1.0599364,1.0543078,0.988460254,0.988460254,0.988460254,0.988460254
Canada,0.92586845,1.023771538,0.985347208,0.852177954,0.387927827,0.201596144,0.291077461,0.291603821,0.41266678,0.51332326,0.46119355,0.478922431,0.631708095,0.699315968,0.762600839,0.610202577,0.60089073,0.707920386,0.966030824,0.997430344,1.18050754,1.330038716,1.393176207,1.421191776,1.547501979,1.858025784,1.874903054,2.103374601,2.398098409,2.888706271,2.938171034,3.000832386,2.763383567,2.963397166,3.223468707,3.349778911,3.777186784,3.988781062,4.293559414,3.768748149,3.899367443,3.939316299,3.79301565,4.324606192,4.770948714,5.298454958,5.441561713,5.117073718,5.039661922,5.043535538,5.519270061,6.145362395,5.478344207,5.290221521,4.390101356,4.097400227,4.477602015,4.967958012,5.505535521,6.538777838,6.402543376,6.521682136,5.823211402,4.770787227,4.804071789,4.892830622,5.769324089,6.529321589,6.185381115,6.657482686,6.828346766,7.118442805,7.23212387,6.982743311,7.148303595,7.248136057,7.519955426,7.613986335,7.728497646,7.731019573,6.988372318,5.364043333,6.00543596,6.020140734,6.532305337,5.973036926,5.911522388,6.18477213,6.114245331,6.86310242,6.989642414,7.195404185,6.7125287,7.380350999,7.95596188,8.058644426,8.058642331,8.058642872
Croatia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.826604295,0.682403883,0.834008242,0.622622624,0.682565732,0.801912219,0.861144586,1.128591193,1.257006612,1.443277024,1.423549705,1.426938856,1.50999031,1.541942278,1.635071327,1.661519169,1.567790527,1.246979567,1.210215915,1.081905902,1.034717158,1.14102702,1.225087198,1.1692347,1.076508025,1.287250589,1.210718348,1.184110928,1.212949075,1.20484673,1.170307452,1.170307452,1.170307452,1.170307452
Cyprus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04182051,0.04182051,0.044310849,0.046801187,0.047831672,0.048346914,0.035208232,0.049377399,0.049806768,0.094117616,0.119793864,0.122370076,0.133805629,0.152529283,0.212810317,0.226967227,0.170339589,0.312822033,0.516042185,0.539332585,0.55714289,0.5712998,0.62107732,0.521065605,0.537505887,0.474484806,0.42927403,0.332002362,0.434754124,0.429730705,0.436580822,0.524719001,0.6617951,0.6234125,0.6794812,0.7403146,0.7768846,0.7444168,0.8037291,0.7732117,0.7462368,0.7460208,0.7566916,0.7387829,0.7731234,0.7447878,0.8148924,0.7827835,0.8172759,0.823635,0.8241642,0.6698034,0.5527688,0.5497637,0.5052225,0.7517785,0.9661741,0.8695816,0.8900604,0.9143719,0.8497702,0.7845916,0.8807084,0.8817504,1.073083577,1.120388998,1.129659572,1.131476546
Czechia,0,0,0,0,0.5442835,0.427975,0.458185,0.49343,0.528675,0.68476,0.68476,0.68476,0.68476,0.15105,0.16112,0.176225,0.176225,0.327275,0.46322,0.706914,0.830775,0.875083,0.9440625,1.047316104,1.112751892,1.168140453,1.289995286,1.456160968,1.585057449,1.848861571,2.069385329,2.366508461,2.543236613,2.690252452,2.9454692,2.607126674,2.765735467,2.876512588,3.086473877,3.125804049,3.325871781,3.525939513,3.726007246,3.897081582,3.829308973,3.877615231,4.027104766,4.050449989,4.030689293,3.981483535,4.029022191,3.910973101,3.877535165,3.770111287,3.516287742,3.432854506,3.300361656,3.073971891,2.948380848,2.827942387,2.84406026,2.673987433,2.50478,2.31504,2.46609,2.18466,2.19102,2.0196,2.12436,2.06766,2.0669,1.95085,1.94535,1.6247,1.40195,1.4715,1.62918,1.6138818,1.7425022,2.0336206,1.9920845,1.578528,1.4566891,1.6601031,1.503928,1.334988,1.479813,1.5471707,1.6896877,1.7151065,1.8625737,1.9727501,1.8846588,1.9467059,1.882624697,1.882624697,1.882624697,1.882624697
Denmark,0.4070275,0.4174775,0.4070275,0.2659525,0.2168375,0.289465,0.402325,0.3955325,0.414012803,0.353275313,0.334377533,0.36366,0.2304225,0.220044083,0.227164713,0.333897355,0.337972333,0.11494791,0.262208788,0.3310351,0.40183594,0.435765,0.4561425,0.514634828,0.633245903,0.658376123,0.638503644,0.657841438,0.619700536,0.608739483,0.558033471,0.726281186,0.753461034,0.827604095,0.850595574,0.794720935,0.991752555,1.042636795,1.096105349,1.149573902,1.190299117,1.362200517,1.360114525,1.409450517,1.39886616,1.450029178,1.234602066,1.093224038,1.134973796,1.097106871,1.230275123,1.103663821,0.908006,0.718077234,0.78136477,0.720526322,0.714008301,0.732564776,0.84116457,0.76940396,0.674099164,0.78687455,0.7734155,0.996578,1.1282706,1.143666,1.161972,1.2471536,1.3153487,1.3178344,1.37886,1.3607496,1.3733384,1.392244,1.4047152,1.3236216,1.4625072,1.3612266,1.3950183,1.407146,1.1575419,0.7615473,0.6699615,0.8542908,0.8631103,0.8709282,0.8879004,0.925992,1.1047232,1.1937255,1.1559078,1.1375496,1.2320495,1.2109515,1.232405719,1.232405719,1.232405719,1.232405719
Finland,0.133,0.13205,0.096425,0.07695,0.07315,0.077425,0.114475,0.1349,0.157964575,0.194926225,0.22570195,0.267425,0.267425,0.145866325,0.08493095,0.113182525,0.085604975,0.131897525,0.1566512,0.198425075,0.264005,0.3115924,0.352925,0.393803999,0.369581124,0.445085202,0.49401703,0.501632248,0.456021952,0.449378889,0.439414295,0.555748906,0.595202217,0.637004904,0.64453911,0.678321514,0.746696452,0.840752499,0.739567312,0.719152046,0.701086156,0.835567669,0.89008445,0.860073905,0.942536858,0.993992653,1.04675936,0.980534588,0.86771021,0.813940939,0.81019737,0.83191031,0.85622,0.863704136,0.88630063,0.907609443,0.783389505,0.760199,0.676951835,0.679227795,0.716508845,0.7607182,0.73491,0.572875,0.4765,0.36337,0.36561,0.380145,0.38368,0.45289,0.45107,0.482145,0.508695,0.507465,0.488545,0.4701,0.53221,0.5439882,0.573285,0.600495,0.6140112,0.38212,0.52466,0.5533521,0.500245,0.48627,0.470545,0.4576845,0.558675,0.5907,0.6055179,0.5824914,0.57032,0.622302,0.608968444,0.608968444,0.608968444,0.608968444
