,Countries,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,2030
0,,46519112,49034168,51591836,54186772,60561848,67271440,78213096,89862520,100945464,108194472,114057536,117964872
1,Afghanistan,224024496,249920720,286003616,328870496,356430496,392573120,432397120,488328224,559712384,650165952,697422976,726530176
2,Albania,119551080,128542088,137667856,146922432,165577280,185700416,205361136,225967440,245519744,258892352,267166064,272258976
3,Algeria,1175932416,1278679936,1383762304,1490990976,1639677568,1796494208,1963683200,2140429952,2312011520,2447870720,2506239744,2547815680
4,American Samoa,2143546.25,2584431,3052325,3553727.5,3709370.75,3865298,4003577.5,4145943.75,4272875,4349306,4349306,4390131.5
5,Andorra,1052642.5,1174198.75,1301119.5,1431969.75,1637948,1867940.125,2028634.25,2192667,2346620.75,2447187.5,2595366.5,2687410
6,Angola,522511296,578418496,650699968,731761408,775117632,834746624,894405440,980744576,1118423936,1401876864,1510939776,1584782848
7,Anguilla,1072732.375,1460816,2072918.375,2834994,2864035.25,2903194.75,2952934.25,3011411.25,3241066.75,4181577.25,4181577.25,4329112
8,Antigua and Barbuda,6452807.5,7321881.5,8553529,10281819,10337311,10418605,10870422,11421053,12208038,13907530,14110757,14236874
9,Argentina,2507043584,2663361792,2822958592,2985627136,3248187136,3523645184,3718392320,3922909184,4120599808,4280299520,4341562880,4398929408
10,Armenia,151668144,158920288,166299152,173808448,186382352,199304832,211244880,223492976,234815808,241520080,244877632,247334816
11,Aruba,3446472,4812638,6460605.5,10701824,13598802,17029268,18089160,19189646,20470738,22892384,22892384,23248404
12,Australia,2541038848,2787499264,3117750528,3506039808,3789650432,4153664256,4371384320,4654624768,5009468928,5525067264,5744112128,5924827648
13,Austria,657546432,713190912,770162496,828324608,899902976,974347776,1043751040,1115524096,1185283968,1243250816,1293105280,1330715520
14,Azerbaijan,441033952,464679968,488821760,513394656,574686464,638996608,704990080,774116928,843228928,904350848,922777792,935180160
15,Bahamas,19545992,20857924,22225408,23646268,27655102,32102338,35094632,38330540,41429548,43422364,45033416,45766532
16,Bahrain,46145748,49044740,52574972,56497264,61062588,66472688,68717224,71418792,75588552,84771528,86384632,87349512
17,Bangladesh,520928224,722787648,1041106304,1446298368,1632605184,1853854464,2056726912,2306487296,2583677184,2866089728,3125905920,3304417024
18,Barbados,18274368,20580916,23188576,26408282,26408282,26408282,27400948,28456244,31068052,40743664,42074948,43058988
