,Countries,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,2030
0,,622622677.3207834,657988755.6708112,694050759.0181264,730720922.0086685,821447089.3616645,917390148.1044952,1073982736.9966676,1241683295.4560363,1401808323.319116,1506707641.2961814,1591088254.842516,1646712098.3770516
1,Afghanistan,2978102544.800975,3336121747.274385,3841728081.479884,4448698639.064843,4839817783.317688,5355867837.050886,5915870867.36166,6710236746.432331,7729995383.797251,9026527550.46526,9706304050.056343,10121129721.0311
2,Albania,1580529159.2093723,1706530557.0429416,1834808084.014449,1965240738.7024076,2229577737.950969,2516995995.3046703,2798303357.8197327,3094509297.593559,3376386627.478628,3569360078.5575776,3688945144.85336,3761773295.264034
3,Algeria,15540017124.859829,16978219993.652891,18454606275.85396,19966187909.63452,22065389382.20072,24297310390.16497,26674291957.63165,29202545555.84303,31667251802.741444,33625413878.455463,34466834281.160225,35053842568.5977
4,American Samoa,29461841.540776595,35793908.083978064,42543956.10460233,49805182.88831847,52059386.71709728,54320358.58631706,56325844.57174483,58393021.994957626,60237368.83142465,61346988.87938164,61346988.87938164,61941419.478752784
5,Andorra,13354678.64483658,15041212.24142167,16812620.401951317,18646203.88670142,21535940.125139244,24778608.00459591,27042897.6295519,29363277.15187679,31547237.72255719,32974089.87461028,35085947.78598776,36381220.16071192
6,Angola,6875457411.21268,7632067862.116976,8629520689.507837,9761810805.208284,10368886787.990849,11213200696.597605,12039754564.36507,13246816688.82651,15183605870.30248,19220336864.906666,20767261145.13649,21797464414.851982
7,Anguilla,14684341.880347705,20261147.08057907,29127829.571876056,40233995.33415858,40653837.44277297,41220909.03815526,41945780.17221953,42799046.12571624,46145084.774252005,59900765.11558613,59900765.11558613,62065340.00522334
8,Antigua and Barbuda,89185157.93985802,101593178.88187031,119305572.55393004,144302662.03416672,145099452.01668158,146269178.61222678,152815475.20553958,160810122.2871597,172246897.70221287,197008433.6342365,199965255.3606544,201795217.76258612
9,Argentina,33682701553.68755,35853228159.9532,38078268767.54321,40354004221.96726,44110643917.799126,48072668155.9062,50862535013.922325,53804773514.8559,56655314250.98651,58955686804.513054,59836195521.29312,60643856299.94361
10,Armenia,2049138908.7479117,2152400358.895186,2257697647.192615,2365056803.8108974,2544255624.6301446,2729120048.416494,2900449686.033042,3076874353.938235,3240336097.97596,3336970363.8365383,3385148395.037714,3419683140.1934595
11,Aruba,44651360.794350766,63276192.25554167,86232335.51033053,146399393.856071,187603929.76698488,236909793.88279012,252189088.88118657,268093814.36532032,286649704.94956213,321868693.6452162,321868693.6452162,327086447.52373576
12,Australia,67573839270.98889,74243026547.32591,83323319111.6773,94148449422.53246,102108762238.6102,112446762411.28091,118544068909.8348,126550303127.93102,136604466853.53922,151289303594.70624,157533111138.3851,162626358215.90128
