Countries,Years,grad(built_surface_area/cement_CS),grad(cement_CS),CS_tapio_elasticity
Algeria,1975 - 1980,2.101184517795249,2.3881940129787993,0.8798215330815762
Algeria,1980 - 1985,0.3459496205977774,0.4629902501294456,0.7472071398934529
Algeria,1985 - 1990,0.1407598862312833,0.23419735473132688,0.6010310679758283
Algeria,1990 - 1995,0.111617758837529,0.22849082678839536,0.48849995602185753
Algeria,1995 - 2000,0.05198446986973641,0.15839302662280197,0.32819923312364324
Algeria,2000 - 2005,-0.0017589538792031213,0.09589796898244206,-0.01834193046909229
Algeria,2005 - 2010,0.7542353400206917,0.9205059880874329,0.8193703786629271
Algeria,2010 - 2015,0.22361585989555613,0.3268895162253251,0.6840716780327015
Algeria,2015 - 2020,-0.13369369185332514,-0.08012516089486078,1.6685606663399566
Argentina,1975 - 1980,2.413312069193196,2.6332672485561885,0.9164706204873079
Argentina,1980 - 1985,0.3250639041566996,0.4072969734147028,0.7981004656907311
Argentina,1985 - 1990,0.11491369986320898,0.18154615762779294,0.6329723601135407
Argentina,1990 - 1995,-0.13047199934954723,-0.04952579668987082,2.6344250485572056
Argentina,1995 - 2000,0.2413086978857193,0.3528032196424477,0.683975328032086
Argentina,2000 - 2005,-0.03406272140151091,0.021994836954611397,-1.5486689658942612
Argentina,2005 - 2010,0.9448109126814968,1.0573121386381068,0.8935969598329594
Argentina,2010 - 2015,-0.38861049412703735,-0.35621948904916173,1.0909299071882206
Argentina,2015 - 2020,-0.08246187359980178,-0.04520712440831836,1.8240902220409387
Australia,1975 - 1980,-0.06416099709320174,0.028201456161181707,-2.2750951839684452
Australia,1980 - 1985,-0.09105096524475796,0.02011803668704276,-4.525837518896679
Australia,1985 - 1990,-0.0632446934416824,0.058455910554752986,-1.0819212777883938
Australia,1990 - 1995,-0.07822784425099097,-0.0002914071676592315,268.4485933526172
Australia,1995 - 2000,0.015436188624753135,0.11824401102110926,0.13054520471229128
Australia,2000 - 2005,0.2209503708358087,0.2871551104910084,0.7694460685655367
Australia,2005 - 2010,0.14373083542249662,0.22097617578462148,0.6504358893539118
Australia,2010 - 2015,0.1531199591248918,0.24473299028917225,0.6256612929215956
Australia,2015 - 2020,-0.07004128697293627,0.02992829814663277,-2.340303034598598
Austria,1975 - 1980,-0.020213249755996334,0.06740734241030459,-0.2998671811293116
Austria,1980 - 1985,-0.1231648110105781,-0.04918547290162615,2.5040891902557285
Austria,1985 - 1990,0.08764320370121116,0.17431959376574221,0.5027731066135324
Austria,1990 - 1995,0.11362210093440314,0.21553479235407716,0.5271636179635747
Austria,1995 - 2000,0.07294656984606344,0.16685571230094592,0.4371835332463467
Austria,2000 - 2005,0.016572086648629743,0.0927141225956422,0.17874393010120201
Austria,2005 - 2010,-0.05119713479612536,0.01737842569163429,-2.9460168432156015
Austria,2010 - 2015,-0.07149471002561078,-0.01052551075404751,6.792516933025602
Austria,2015 - 2020,-0.06559755436534696,-0.01764743415503152,3.7171156888348116
Azerbaijan,1975 - 1980,0.000914465500483325,0.056878774622954154,0.016077447282316817
Azerbaijan,1980 - 1985,-0.007646451618044731,0.04615172252503026,-0.16568074168624364
Azerbaijan,1985 - 1990,-0.00021954573966002523,0.052237829287608624,-0.004202811308472648
Azerbaijan,1990 - 1995,-0.5725848485246992,-0.5192283104087152,1.1027612267019566
Azerbaijan,1995 - 2000,0.33958581778668057,0.4963657998733538,0.6841442699584155
Azerbaijan,2000 - 2005,2.051061074159852,2.378213340273512,0.8624377970749944
Azerbaijan,2005 - 2010,0.08061558577906085,0.1908456720102441,0.4224124389613279
Azerbaijan,2010 - 2015,-0.0005336291746322867,0.09227197552873559,-0.005783220436914808
Azerbaijan,2015 - 2020,-0.16474567712882093,-0.10184359299635039,1.6176341808239687
Bangladesh,1975 - 1980,1.8220055664516337,2.9711789189405606,0.6132264721039788
Bangladesh,1980 - 1985,-0.449304925329205,-0.19217653154619335,2.337980198280381
Bangladesh,1985 - 1990,2.8669393225452504,4.457396973826394,0.6431868957106066
Bangladesh,1990 - 1995,0.5511278597897957,0.7597131308891654,0.7254420614591165
Bangladesh,1995 - 2000,1.3243596264216626,1.6528838084008481,0.8012418172956574
Bangladesh,2000 - 2005,1.074099303197246,1.3088958746965298,0.8206147822463555
Bangladesh,2005 - 2010,0.45396138783594076,0.6364673894864448,0.7132516061855657
Bangladesh,2010 - 2015,0.491959817057281,0.6768949885774348,0.7267889781414776
Bangladesh,2015 - 2020,-0.3324107091761078,-0.25751391843381505,1.290845602435048
Belarus,1975 - 1980,-0.013468805241101322,0.05687877365194516,-0.23679844652629412
Belarus,1980 - 1985,-0.02048542729728384,0.04615172578097043,-0.44387131684966197
Belarus,1985 - 1990,-0.01185282441976152,0.05223782736443523,-0.22690117521677802
Belarus,1990 - 1995,-0.4414746935911367,-0.3843777033874629,1.1485439704241078
Belarus,1995 - 2000,0.01987363707720507,0.12102521294574413,0.16421071769660478
Belarus,2000 - 2005,0.23425029234876713,0.3140843770343171,0.7458196251613393
Belarus,2005 - 2010,0.5573047092889413,0.6566023655710673,0.8487704865398044
Belarus,2010 - 2015,-0.10334122141601676,-0.05113732363069908,2.020857058580561
Belarus,2015 - 2020,-0.050974707118804176,-0.009891722852837499,5.153268836700351
Belgium,1975 - 1980,0.03297152414017571,0.12855763632173803,0.2564727003665398
Belgium,1980 - 1985,-0.19772137225085704,-0.1281816916629319,1.542508681901215
Belgium,1985 - 1990,0.11803514180232035,0.20886453397067511,0.565127738818945
Belgium,1990 - 1995,0.04578025724950095,0.1671769291033275,0.2738431522522191
Belgium,1995 - 2000,-0.12444183622285535,-0.02844621572509131,4.374635889198084
Belgium,2000 - 2005,-0.025047427678542015,0.053672645706822855,-0.4666702628254823
Belgium,2005 - 2010,0.03713539330623647,0.11740915730159052,0.316290433895597
Belgium,2010 - 2015,-0.01881063058870445,0.04739446785943827,-0.39689506894544546
