,Country,Start_Year,End_Year,CS_End,Delta_F5,Delta_CS,Pct_Delta_F5,Pct_Delta_CS,Total_Tapio_Elasticity
0,Algeria,1975,2020,3.460795169,1.2822084255175915e-09,3.3060545109999997,1.5434164350450708,2.011263729004408,0.7673864012896382
1,Argentina,1975,2020,2.05881987,3.991992966519682e-10,1.8537444010000002,0.9374079347664337,1.2194977790955783,0.7686835932260966
2,Australia,1975,2020,2.685450235,6.340597074536762e-11,1.6114993429999998,0.15833146419689326,0.9993759606206887,0.15843033096229106
3,Austria,1975,2020,1.819372837,-5.133777798624202e-11,0.823362631,-0.03301674475715065,0.557581906230675,-0.05921416098371639
4,Azerbaijan,1975,2020,0.557971703,2.3398090812568346e-10,0.38905350699999997,0.49957110674605265,1.2187718517530457,0.40989714853316
5,Bangladesh,1975,2020,5.973292122,2.0543032009963444e-09,5.957756584,2.0476486078667087,2.4933197949431465,0.8212539009314687
6,Belarus,1975,2020,0.797453467,-5.093072195206348e-11,0.311813654,-0.09294689312516301,0.5373603446088439,-0.1729693939228453
7,Belgium,1975,2020,1.725732047,-1.0394511547859129e-10,0.7721292,-0.09768408767921274,0.5988471703588515,-0.16312022919082478
8,Brazil,1975,2020,10.78675689,2.52674561341534e-10,7.683296974999999,0.4976703808759378,1.1344637681716836,0.4386833628701865
9,Bulgaria,1975,2020,0.807143122,-6.268213653263081e-10,-0.00823758699999999,-0.5534053676497468,-0.010517102510536247,52.619565806773686
10,Canada,1975,2020,4.461663848,1.8961776096914762e-10,2.457597542,0.2883226226839245,0.8538956832735939,0.3376555571502333
11,Chile,1975,2020,1.424532703,6.758220065404807e-10,1.1828351639999999,1.1494097917491124,1.7481949603734328,0.6574837577060549
12,China,1975,2020,359.1951756,3.72839385495563e-09,354.05192047400004,2.006440145256638,2.841696737842039,0.7060711716832642
13,Colombia,1975,2020,2.400922331,6.663772592768816e-10,1.7375327589999998,0.6226095069038674,1.166159500061214,0.5338973844239878
14,Croatia,1995,2020,0.326303961,1.4720887982441662e-10,0.14752263499999999,0.2524488893147543,0.5326148670520441,0.4739801776695175
15,Cyprus,1975,2020,0.355108263,9.694431870886508e-10,0.2544608,0.5584338616184796,1.382859538601241,0.40382543998889003
16,Czechia,1975,2020,1.690927597,-5.445842829440334e-10,0.26483857600000005,-0.4488676005509495,0.19743925112078023,-2.273446632333315
17,Denmark,1975,2020,0.725523872,-1.554583914706211e-10,0.23680616800000004,-0.21042382356084222,0.4695070838115287,-0.4481802954975464
18,Ecuador,1975,2020,0.885099533,6.602669978900743e-10,0.780903698,0.9693733579069789,1.3873647707593038,0.6987155637348651
19,Egypt,1975,2020,6.696293512,1.477363227104217e-09,6.126627157,1.0496614132094626,1.8150816941463828,0.5782998179060526
20,Estonia,1975,2020,0.136085078,-2.7091187918961596e-10,0.00939643100000001,-0.4572838877514439,0.0909770465612636,-5.026365495867253
21,Finland,1975,2020,0.475393362,-2.4060691237945384e-10,0.125724652,-0.3002842652698042,0.33694271441670215,-0.8912027250378178
22,France,1975,2020,6.213354856,-2.272641304984311e-10,1.633162757,-0.36882423832387257,0.33360611323632816,-1.1055679847886832
23,Germany,1975,2020,10.71350308,-2.4117715373467405e-10,3.2629433180000005,-0.22973623331236845,0.3918787239360764,-0.5862431902525109
24,Greece,1975,2020,1.146365782,-7.673954128333142e-10,-0.10547943700000006,-0.4261505936633465,-0.06165404228765832,6.911965182673055
