Countries,Years,grad(cement_CS/built_surface),grad(cement_CS),CS_tapio_elasticity
Algeria,1975 - 1980,2.115937819453589,2.3881940129787993,0.8859991307047854
Algeria,1980 - 1985,0.3518913428965207,0.4629902501294456,0.760040504
Algeria,1985 - 1990,0.14543669456368744,0.23419735473132688,0.6210005861532194
Algeria,1990 - 1995,0.1170908065019503,0.22849082678839536,0.5124529861778115
Algeria,1995 - 2000,0.057276473379554174,0.15839302662280197,0.3616098170530745
Algeria,2000 - 2005,0.002592655,0.095897969,0.027035561014835306
Algeria,2005 - 2010,0.7619195343360118,0.9205059880874329,0.8277181726096952
Algeria,2010 - 2015,0.22841691702447747,0.3268895162253251,0.6987587722667422
Algeria,2015 - 2020,-0.131179107,-0.080125161,1.637177454700189
Argentina,1975 - 1980,2.420023284786285,2.6332672485561885,0.919019247
Argentina,1980 - 1985,0.3277350222606309,0.4072969734147028,0.8046586241801919
Argentina,1985 - 1990,0.1171709411740704,0.18154615762779294,0.6454057893877049
Argentina,1990 - 1995,-0.12635527,-0.049525797,2.5513021178777437
Argentina,1995 - 2000,0.24704894679372497,0.3528032196424477,0.7002457263403079
Argentina,2000 - 2005,-0.031531136,0.021994836954611397,-1.433569899
Argentina,2005 - 2010,0.9500562713395488,1.0573121386381068,0.8985579911749513
Argentina,2010 - 2015,-0.387105617,-0.356219489,1.0867053275325804
Argentina,2015 - 2020,-0.080830834,-0.045207124,1.788010962903073
Australia,1975 - 1980,-0.062708329,0.028201456161181707,-2.223584783
Australia,1980 - 1985,-0.087939124,0.020118037,-4.371158368
Australia,1985 - 1990,-0.058766684,0.058455910554752986,-1.005316376
Australia,1990 - 1995,-0.075107801,-0.000291407,257.7417749885881
Australia,1995 - 2000,0.020244689571645505,0.11824401102110926,0.17121112009665643
Australia,2000 - 2005,0.22304738796661822,0.2871551104910084,0.7767488016676006
Australia,2005 - 2010,0.14667806234611147,0.22097617578462148,0.6637731955732367
Australia,2010 - 2015,0.15656271940582916,0.24473299028917225,0.6397287068688099
Australia,2015 - 2020,-0.066184435,0.029928298,-2.211433303
Austria,1975 - 1980,-0.015873762,0.067407342,-0.235490097
