Region,Start_Year,End_Year,Δtotal_CE/energy_consumption,Δenergy_consumption/GDP,ΔGDP/Population,Δbuilt_surface/Population,Δcement_CS/built_surface,ΔTotal
Global,1975,1980,-220.9489354563099,-6447.769833956681,7339.006221255004,-121.24867030030487,-1497.7246240069232,-948.6858424652227
Global,1980,1985,-14.264666646714188,-8185.586148936124,9959.142694296286,-102.71199750281565,-548.6286879709742,1107.951193239659
Global,1985,1990,-201.42738806757086,-64621.4388557641,65036.779566906014,-215.99293670594142,-296.0897834256066,-298.1693970572079
Global,1990,1995,-114.04815293489648,-34441.059532522406,33972.82623501587,-329.4760810896582,1034.615532186497,122.85800065541494
Global,1995,2000,-170.21776524238985,-498.6759668615402,468.86413992229035,-367.6249525634801,-1.5172951963192762,-569.1718399414392
Global,1995,2005,-15.396946612036485,-148.28914317009196,172.3494593850826,-26.622696090217772,-20.432917365802574,-38.39224385306612
Global,2000,2005,-30.226264768458687,-2891.8993219217236,3428.587970033749,-179.32764774222102,-1361.476261170892,-1034.3415255695468
Global,2005,2010,-86.4739172327193,-2227.2329204768953,2239.8330427173546,-82.94725407988828,-173.8368563693925,-330.65790544153975
Global,2010,2015,-148.67888351034438,4558.042446300174,-4757.520009106975,-109.06671454662484,-176.65332840776134,-633.8764892715311
Global,2015,2020,-359.07304461865647,-556.2780715056589,240.402364504443,-132.22694907320678,-85.42026715946696,-892.5959678525463
