region,Years,grad(cement_CS/built_surface),grad(cement_CS),tapio_elasticity
Africa,1975 - 1980,0.2764368896499348,0.26186674902509566,1.0556395215470553
Africa,1980 - 1985,0.21033658272644157,0.363951753211636,0.5779243563751484
Africa,1985 - 1990,0.13678837503836186,0.2536515163027704,0.539276788217914
Africa,1990 - 1995,0.2046262050265881,0.31087237325263517,0.6582321963370334
Africa,1995 - 2000,0.1161122424636052,0.23131254720889322,0.501971224063115
Africa,2000 - 2005,0.12978712101083853,0.1619034965870165,0.801632600572547
Africa,2005 - 2010,0.4385880643949572,0.5765499843951508,0.7607112588079813
Africa,2010 - 2015,0.012552794323538626,0.14839307461550943,0.08459151046006198
Africa,2015 - 2020,-0.18310788741450829,-0.07269849038675436,2.5187302575387522
Americas,1975 - 1980,0.34006610358138917,0.4538172086225313,0.7493459858289416
Americas,1980 - 1985,-0.007469439080893519,0.09328026151420088,-0.0800752373507913
Americas,1985 - 1990,0.04893063329211971,0.05213138276602492,0.9386022525381543
Americas,1990 - 1995,0.0533031816921109,0.05699755605914447,0.9351836355369335
Americas,1995 - 2000,0.051082894990508616,0.2910412854881971,0.17551769297892356
Americas,2000 - 2005,0.014250801162587031,0.05676018115755799,0.25107039604100073
Americas,2005 - 2010,0.2772884345085689,0.31699877564768025,0.8747303012196919
Americas,2010 - 2015,0.12668809384874163,0.129907901209226,0.975214691866212
Americas,2015 - 2020,-0.03212270459376705,0.06554829288321434,-0.4900616504383909
Asia,1975 - 1980,0.5109759832342676,0.7028013384123324,0.7270560758870935
Asia,1980 - 1985,0.37123423214618767,0.318172998790781,1.16676849876346
Asia,1985 - 1990,0.09175234880983676,0.3559751164033471,0.25774933297830377
Asia,1990 - 1995,0.4768026073975763,0.56827546658021,0.8390342983956309
Asia,1995 - 2000,-0.01764716057676367,0.24408075095840068,-0.07230050099186773
Asia,2000 - 2005,0.11252001231142968,0.5087132238068168,0.2211855462875858
Asia,2005 - 2010,0.0414453840153895,0.5531331676101209,0.07492840140912055
Asia,2010 - 2015,0.12555237101854336,0.298320956078006,0.4208633971584399
Asia,2015 - 2020,0.05924872778388082,0.12401877977297156,0.4777399672238461
Europe,1975 - 1980,0.04157771408837298,0.1355955669714494,0.3066303347300982
Europe,1980 - 1985,-0.08284672999743423,-0.0451724847101495,1.834008700850143
Europe,1985 - 1990,0.03246136589062542,0.00526743500979874,6.162651429061621
Europe,1990 - 1995,-0.1335670565857082,-0.06024929192053396,2.2169066611085984
Europe,1995 - 2000,-0.04219395874506375,0.09341099129354266,-0.45170229071298323
Europe,2000 - 2005,0.05072296116737992,0.07614683735341835,0.6661203922621337
Europe,2005 - 2010,-0.044018405382254884,-0.022350267456875943,1.9694800282451588
Europe,2010 - 2015,-0.107014834043948,-0.03195707400706119,3.3487056424596995
Europe,2015 - 2020,0.11148168676281817,0.11580477656345808,0.9626691581389911
Oceania,1975 - 1980,-0.14926967830610793,-0.009021676725517272,16.54566915304198
Oceania,1980 - 1985,0.08056727447774595,0.08050299897212754,1.0007984237412157
Oceania,1985 - 1990,-0.2329426215759351,-0.01416204862655616,16.4483704101347
Oceania,1990 - 1995,-0.046010892618991106,-0.0010079085391853076,45.649868842446466
Oceania,1995 - 2000,0.17542727431782196,0.15581044422470577,1.1259018943866517
Oceania,2000 - 2005,0.3498757688842093,0.32930968379095454,1.062452111509451
Oceania,2005 - 2010,-0.024932812534657175,0.15330690946477266,-0.16263332567138022
Oceania,2010 - 2015,0.1437221925383082,0.2366650673273191,0.6072809737464699
Oceania,2015 - 2020,0.18977924360051493,0.12357207869781116,1.5357777064235507
