,Countries,Year,total_CE,cement_CS,energy_consumption,Population,GDP,cement_production,built_surface,total_CE/energy_consumption,energy_consumption/GDP,GDP/Population,built_surface/Population,cement_CS/built_surface,CFP
0,Algeria,1975,15.5,0.154740658,0.25,0.15724692,0.015557902754,0.907,1175932416.0,62.0,16.069003898081572,0.09893931629312674,7478254047.837629,1.3158975455950014e-10,100.16759783973518
1,Algeria,1980,38.5,0.524291371,0.64,0.18739378,0.042345829079,3.9908,1278679936.0,60.15625,15.113649063430113,0.22597243664650982,6823491878.972717,4.1002549288456186e-10,73.43245021669449
2,Algeria,1985,57.6,0.767033164,0.94,0.22132905,0.05793786867,5.5327,1383762304.0,61.276595744680854,16.22427648062118,0.26177254486024315,6252059112.8909645,5.543099141975181e-10,75.09453659033706
3,Algeria,1990,65.4,0.946670302,1.13,0.25518074,0.062048507531,6.50319,1490990976.0,57.87610619469027,18.211558101303915,0.24315513596754987,5842882092.120275,6.349269158822864e-10,69.08424174903503
4,Algeria,1995,65.2,1.162975782,1.13,0.28478022,0.041764291672,6.2,1639677568.0,57.6991150442478,27.056606367816958,0.14665446803854568,5757694716.297361,7.092710205327392e-10,56.06307629886656
5,Algeria,2000,62.6,1.347183036,1.08,0.30774621,0.05479039857,8.3,1796494208.0,57.96296296296296,19.71148281792833,0.17803760627953794,5837583533.522638,7.498955632591719e-10,46.46733096184861
6,Algeria,2005,76.9,1.476375153,1.32,0.3295669,0.107047,9.0,1963683200.0,58.25757575757576,12.331032163442227,0.32481113849722165,5958375067.399062,7.518397840344104e-10,52.08703210951425
7,Algeria,2010,94.6,2.835387322,1.58,0.35856344,0.177785,20.0,2140429952.0,59.87341772151898,8.887138959979751,0.4958257874812892,5969459552.262216,1.324681202181196e-09,33.364048455035025
8,Algeria,2015,129.0,3.762245712,2.22,0.39543154,0.187494,23.0,2312011520.0,58.108108108108105,11.84037889212455,0.4741503421805959,5846806048.905457,1.6272607984237034e-09,34.288031637206366
9,Algeria,2020,132.7,3.460795169,2.34,0.43451666,0.164873,22.5,2447870720.0,56.70940170940171,14.192742292552449,0.3794399966160101,5633548596.272465,1.4137981800770916e-09,38.343789077336176
