Countries,Region,1975 - 1980,1980 - 1985,1985 - 1990,1990 - 1995,1995 - 2000,2000 - 2005,2005 - 2010,2010 - 2015,2015 - 2020
Algeria,Africa,Expansive Coupling,Expansive Negative Decoupling,Expansive Negative Decoupling,Weak Negative Decoupling,Strong Decoupling,Weak Decoupling,Weak Decoupling,Expansive Negative Decoupling,Strong Negative Decoupling
Argentina,Americas,,,Weak Decoupling,Weak Decoupling,Expansive Coupling,Strong Negative Decoupling,Weak Decoupling,Weak Decoupling,Weak Negative Decoupling
Australia,Oceania,Weak Decoupling,Weak Decoupling,Weak Decoupling,Weak Decoupling,Expansive Coupling,Weak Decoupling,Weak Decoupling,Weak Decoupling,Recessive Decoupling
Austria,Europe,Weak Decoupling,Weak Negative Decoupling,Weak Decoupling,Weak Decoupling,Strong Negative Decoupling,Weak Decoupling,Strong Decoupling,Recessive Decoupling,Strong Decoupling
Azerbaijan,Asia,,,,Weak Negative Decoupling,Strong Decoupling,Weak Decoupling,Strong Decoupling,Expansive Negative Decoupling,Strong Negative Decoupling
Bangladesh,Asia,Strong Negative Decoupling,Expansive Coupling,Expansive Coupling,Expansive Negative Decoupling,Weak Decoupling,Expansive Negative Decoupling,Weak Decoupling,Expansive Coupling,Weak Decoupling
Belarus,Europe,,,,,Weak Negative Decoupling,Weak Decoupling,Weak Decoupling,Recessive Decoupling,Weak Decoupling
Belgium,Europe,Weak Decoupling,Weak Negative Decoupling,Weak Decoupling,Weak Decoupling,Strong Negative Decoupling,Strong Decoupling,Strong Decoupling,Recessive Decoupling,Strong Decoupling
Brazil,Americas,,,,Weak Decoupling,Strong Negative Decoupling,Weak Decoupling,Weak Decoupling,Strong Negative Decoupling,Recessive Coupling
Bulgaria,Europe,,Weak Negative Decoupling,Strong Decoupling,Recessive Decoupling,Recessive Coupling,Weak Decoupling,Strong Decoupling,Expansive Negative Decoupling,Strong Decoupling
Canada,Americas,Weak Decoupling,Strong Decoupling,Weak Decoupling,Expansive Negative Decoupling,Weak Decoupling,Weak Decoupling,Strong Decoupling,Strong Negative Decoupling,Strong Decoupling
Chile,Americas,Weak Decoupling,Weak Negative Decoupling,Weak Decoupling,Weak Decoupling,Expansive Negative Decoupling,Weak Decoupling,Weak Decoupling,Expansive Negative Decoupling,Strong Decoupling
China,Asia,Expansive Negative Decoupling,Weak Decoupling,Expansive Negative Decoupling,Weak Decoupling,Weak Decoupling,Expansive Coupling,Weak Decoupling,Weak Decoupling,Weak Decoupling
Colombia,Americas,Weak Decoupling,Expansive Negative Decoupling,Strong Decoupling,Weak Decoupling,Strong Decoupling,Strong Decoupling,Weak Decoupling,Expansive Negative Decoupling,Strong Negative Decoupling
Croatia,Europe,,,,Recessive Decoupling,Strong Negative Decoupling,Weak Decoupling,Strong Decoupling,Recessive Coupling,Strong Decoupling
Cyprus,Asia,Weak Decoupling,Expansive Negative Decoupling,Weak Decoupling,Weak Decoupling,Expansive Negative Decoupling,Weak Decoupling,Strong Decoupling,Weak Negative Decoupling,Strong Decoupling
Czechia,Europe,,,,Strong Decoupling,Strong Decoupling,Strong Decoupling,Strong Decoupling,Recessive Coupling,Strong Decoupling
Denmark,Europe,Weak Decoupling,Weak Negative Decoupling,Strong Decoupling,Weak Decoupling,Recessive Coupling,Strong Decoupling,Strong Decoupling,Recessive Decoupling,Strong Decoupling
Ecuador,Americas,Weak Decoupling,Strong Negative Decoupling,Strong Negative Decoupling,Weak Decoupling,Strong Negative Decoupling,Weak Decoupling,Weak Decoupling,Weak Decoupling,Recessive Decoupling
Egypt,Africa,Weak Decoupling,Weak Decoupling,Expansive Negative Decoupling,Weak Decoupling,Weak Decoupling,Strong Negative Decoupling,Weak Decoupling,Weak Decoupling,Weak Decoupling
Estonia,Europe,,,,,Strong Decoupling,Weak Decoupling,Weak Decoupling,Strong Decoupling,Strong Decoupling
Finland,Europe,Weak Decoupling,Strong Decoupling,Weak Decoupling,Strong Negative Decoupling,Strong Negative Decoupling,Strong Decoupling,Weak Decoupling,Recessive Decoupling,Strong Decoupling
France,Europe,Weak Decoupling,Recessive Coupling,Strong Decoupling,Strong Decoupling,Strong Negative Decoupling,Weak Decoupling,Strong Decoupling,Recessive Decoupling,Strong Decoupling
Germany,Europe,Weak Decoupling,Weak Negative Decoupling,Strong Decoupling,Strong Decoupling,Weak Negative Decoupling,Strong Decoupling,Strong Decoupling,Recessive Decoupling,Strong Decoupling
Greece,Europe,Strong Decoupling,Strong Negative Decoupling,Weak Decoupling,Weak Decoupling,Strong Negative Decoupling,Weak Decoupling,Strong Decoupling,Weak Negative Decoupling,Recessive Decoupling
Hong Kong,Asia,Weak Decoupling,Expansive Negative Decoupling,Weak Decoupling,Weak Decoupling,Weak Decoupling,Expansive Negative Decoupling,Weak Decoupling,Weak Decoupling,Strong Decoupling
