Countries,Region,Start_Year,End_Year,Period_Length,ΔTotal,Δtotal_CE/energy_consumption,Δenergy_consumption/GDP,ΔGDP/Population,Δbuilt_surface/Population,Δcement_CS/built_surface
Algeria,Africa,1975,2020,45,-61.823808762399004,-5.742591228776825,-7.993873541889502,86.54281831991942,18.237083894397525,-152.86724620604966
Argentina,Americas,1985,2020,35,-11.38666607383226,-4.483383529639013,-74.28566745989909,90.20577260398906,-1.0093565108963998,-21.814031177386862
Australia,Oceania,1975,2020,45,-38.29986742511804,-17.083002500845318,-290.9436709781923,317.89270943813807,-25.973197909717975,-22.192705474500556
Austria,Europe,1975,2020,45,-22.92494426599046,-12.691645275932146,-83.8500026503724,91.78388121154555,-19.59109659564068,1.4239190444092293
Azerbaijan,Asia,1990,2020,30,-213.72877939399095,-11.80437258865145,-277.9655112435361,177.54159511370133,-32.51036471710886,-68.9901259583959
Bangladesh,Asia,1975,2020,45,-285.38919308695654,5.450121189628109,6.965862662365819,213.69011180880415,-89.28382207892673,-422.2114666688279
Belarus,Europe,1995,2020,25,-88.47638102208207,-13.07947532034049,-145.96330624452918,169.63358151579047,-41.71384607678934,-57.353334896213525
Belgium,Europe,1975,2020,45,-71.11289408463833,-39.59438886336635,-168.42079031019247,176.47177660307787,-48.218732381351614,8.649240867194205
Brazil,Americas,1990,2020,30,-5.195935206634559,-3.6669782612297768,-23.0638036450956,40.28825345070105,-4.547817922290395,-14.205588828719835
Bulgaria,Europe,1980,2020,40,-44.34787661530967,-22.927987459090826,-116.7338490358958,97.29212811565185,-46.112247884623365,44.13407964864844
Canada,Americas,1975,2020,45,-86.55789284282201,-42.507659355280786,-263.40377083047366,265.29301414031653,-5.8573030088846565,-40.08217378849944
Chile,Americas,1975,2020,45,-14.734356560421823,-5.444542521647973,-125.08951389986527,194.55655882536442,-2.52564671217658,-76.2312122520964
China,Asia,1975,2020,45,-191.75353501676233,-21.541597994980236,-193.7569625834363,379.65974709656115,-100.23093677903596,-255.88378475587095
Colombia,Americas,1975,2020,45,-13.93294469615411,-9.925816405522662,-80.46596863977541,98.79874074900532,6.2809667445989374,-28.620867144460316
Croatia,Europe,1995,2020,25,-38.79777716626734,-2.7824143519675175,-57.26124374364514,67.54606913188542,-28.431558692740648,-17.868629509799405
Cyprus,Asia,1975,2020,45,-1.1526091698014085,0.0,-55.52457039752796,66.72729254607229,-1.7419075730077573,-10.613423745337975
Czechia,Europe,1990,2020,30,-61.67470634645577,-27.63871662978225,-159.29967309468466,139.59362031436078,-26.29848984990504,11.968552913555362
Denmark,Europe,1975,2020,45,-79.56787080649036,-38.8336563577701,-161.5453324940909,138.03739892801292,-29.047496329054688,11.821215446412442
Ecuador,Americas,1975,2020,45,-13.189442183225914,-12.047077156520954,-15.930575886124606,63.00478550529372,6.615952477907072,-54.83252712378115
Egypt,Africa,1975,2020,45,-17.913791768935265,-2.40020147190886,-55.381989959363985,95.68008353902047,-3.0666795547890846,-52.74500432189381
Estonia,Europe,1995,2020,25,-214.22290616589288,-44.81997115808891,-406.96967629966855,413.31348142434496,-53.294051699717826,-122.45268843276249
Finland,Europe,1975,2020,45,-57.00336292062555,-66.24880083055297,-188.55593841029304,212.99158475626692,-42.89955998007853,27.709351544032067
France,Europe,1975,2020,45,-59.32197996633634,-52.309551188510184,-117.973742072068,115.92347415667702,-26.807421125173317,21.84526026273816
Germany,Europe,1975,2020,45,-81.09635964360595,-39.98783877383695,-196.63574857349263,183.5719766871596,-47.22407694383967,19.179327960403718
Greece,Europe,1975,2020,45,4.217995106523574,-16.003664919209704,-72.60286010485524,80.8115404280338,-16.712753665294965,28.725733367849692
Hong Kong,Asia,1975,2020,45,-122.50790689585794,-0.3385551440712507,-181.08776333059203,273.4834822755062,-30.10118569985551,-184.46388499684542
Hungary,Europe,1975,2020,45,-45.78679583374845,-38.91880266069285,-209.53454696061922,215.75405418287573,-49.056691838557015,35.96919144324496
Iceland,Europe,1975,2020,45,-24.221232535649854,-59.01613724653788,-53.363219232157924,91.01558736982285,1.6210085364327682,-4.478471963209693
India,Asia,1975,2020,45,-34.78519848735133,-1.484338770829469,-59.614618633874,135.69187857521578,-34.93348591728045,-74.44463374058323
Indonesia,Asia,1975,2020,45,-142.1592326927405,5.199839762853548,-87.84314859243291,254.23858976563966,-24.398686504833403,-289.3558271239674
Iran,Unknown,1975,2020,45,-34.565947134947145,-13.203798723236632,63.160732723721004,43.396007231974416,16.156349452504212,-144.0752378199101
Iraq,Asia,1975,2020,45,-11.36457516841308,-1.1643015860958872,-7.243382793522651,37.74715842834775,16.73085342111478,-57.43490263825708
Ireland,Europe,1975,2020,45,-24.756814282839485,-24.23415965707473,-198.57513947289075,217.68241985822215,-11.243742911639005,-8.38619209945712
Israel,Asia,1975,2020,45,-8.437486646964707,-5.98745398213434,-78.60672167304497,93.33893105678035,12.146745107695063,-29.328987156260826
Italy,Europe,1975,2020,45,-6.814387386622641,-14.693182447891848,-102.46772797624199,101.2361040024565,-23.780968571527715,32.89138760658241
Japan,Asia,1975,2020,45,-47.48153926494122,-6.054601276622396,-133.4032243569545,138.6174405194327,-20.733825788586714,-25.907328362210272
Kazakhstan,Asia,1990,2020,30,-58.170641220025786,-4.828343355816631,-240.85711176689884,208.1825275129276,-46.57061294313812,25.902899332900233
Kuwait,Asia,1980,2020,40,-120.36140181655054,-4.626964104391437,21.118707170560576,25.79663581586742,65.42267966935486,-228.07246036794197
Latvia,Europe,1995,2020,25,-93.627886952352,-20.687099164536466,-207.99049750701468,230.9334491487019,-49.67487997771395,-46.208859451788825
Lithuania,Europe,1995,2020,25,-40.60743251799226,11.243211253986614,-133.40017163774988,127.51372558862543,-29.386067031227757,-16.578130691626686
Luxembourg,Europe,1975,2020,45,-141.5280234437173,-33.12245565928086,-311.1792431553045,255.73746474508943,-21.339109585455272,-31.624679788766056
Malaysia,Asia,1975,2020,45,-4.016034249110504,-9.11466666237637,-30.54548382346705,125.4557819496835,-9.523069837242838,-80.28859587570776
Mexico,Americas,1975,2020,45,-16.54972214051182,-3.9622160742822383,-60.10862881827586,82.34137086781777,-11.334316113889061,-23.485932001882396
Morocco,Africa,1975,2020,45,-1.4735525508606244,1.343968629465091,-29.32247796472681,64.27287309822748,-1.7821461839716195,-35.98577012985475
Netherlands,Unknown,1975,2020,45,13.793809932641295,-79.93967627745695,-640.457441125494,621.6505361619932,-131.87223230620899,244.41262347980822
New Zealand,Oceania,1975,2020,45,-32.55015580949322,-5.282682760602751,-125.92912827738033,133.11116395969427,-4.8687112763504725,-29.580797454853954
North Macedonia,Europe,1995,2020,25,-12107.361435319268,-552.1580342570502,-2210.5589823109976,2363.0592180720196,-927.7071378989336,-10779.996498924309
Norway,Europe,1975,2020,45,-28.092536330902988,-26.454584591964217,-163.13359530699026,181.36057809721868,-33.34188519278578,13.476950663618593
Oman,Asia,1985,2020,35,41.04778370995712,-3.0940546908373006,8.247107198236229,19.29181914236334,14.635532861916404,1.9673791982784399
Pakistan,Asia,1975,2020,45,-1.0108827050467184,2.7414150139089304,-35.314788788849036,67.6762236332491,-3.590338392368604,-32.5233941709871
Peru,Americas,1985,2020,35,-17.588934725497005,-5.29476836712578,-50.35956655838853,65.2001768404778,4.944645706418048,-32.07942234687854
Philippines,Asia,1975,2020,45,-24.200232837108857,0.5365654114914478,-40.5090911718138,51.850127421333546,-1.16278428635442,-34.91505021176563
Poland,Europe,1990,2020,30,-70.0105442495425,-19.26149940884263,-209.5076224899373,203.90328479164953,-42.854297345551494,-2.2904097968605837
Portugal,Europe,1975,2020,45,1.2377496444864846,-8.719719594599397,-44.530162683553684,67.665725440399,-17.384353668371066,4.206260150611624
Qatar,Asia,1975,2020,45,-117.83639149601304,-4.117148474410979,-146.82924036947094,223.3555570626979,243.4352662499795,-433.68082596480855
Romania,Europe,1990,2020,30,-63.51220775837268,-17.199487626357207,-134.70986388018974,108.34323767914933,-34.6904489696465,14.744355038671493
Russia,Unknown,1990,2020,30,-50.464423240961395,-24.58087789852596,-154.32611664012958,129.92144751507556,-56.730335157200074,55.2514589398187
Saudi Arabia,Asia,1975,2020,45,-254.06807201548054,-32.88166676810019,-41.447816923201245,161.95682588767255,59.88507106701247,-401.58048527886416
Singapore,Asia,1975,2020,45,171.5801619277978,-29.40585184727741,-315.8935104207216,572.6488958042289,105.21924183987454,-160.98861344830652
Slovakia,Europe,1995,2020,25,-155.43892686941996,-21.134796530612782,-146.4274145356066,130.2259466561289,-26.272686798114034,-91.82997566121543
Slovenia,Europe,1995,2020,25,-36.715754154382026,-18.235103818778686,-84.3217626962102,82.54782401411079,-19.138469173538933,2.431757520034999
South Africa,Africa,1975,2020,45,28.922662316759727,5.4051266378086575,-195.07844404839162,211.19573483325118,-38.59735499699616,45.99759989108775
Spain,Europe,1975,2020,45,2.687550000873685,-15.564751246750703,-69.78451731065101,85.39129740090681,-14.424620146206776,17.07014130357538
