Countries,Period,Reason
Argentina,1975-1980,"因子 energy_consumption/GDP 无效 (base=nan, target=nan)"
Argentina,1980-1985,"因子 energy_consumption/GDP 无效 (base=nan, target=19.566446748276846)"
Azerbaijan,1975-1980,"CFP无效 (base=nan, target=nan)"
Azerbaijan,1980-1985,"CFP无效 (base=nan, target=269.85735003155645)"
Azerbaijan,1985-1990,"因子 energy_consumption/GDP 无效 (base=nan, target=105.7980900391235)"
Belarus,1975-1980,"CFP无效 (base=nan, target=nan)"
Belarus,1980-1985,"CFP无效 (base=nan, target=166.8683128687599)"
Belarus,1985-1990,"因子 energy_consumption/GDP 无效 (base=nan, target=nan)"
Belarus,1990-1995,"因子 energy_consumption/GDP 无效 (base=nan, target=64.42180176653609)"
Brazil,1975-1980,"因子 energy_consumption/GDP 无效 (base=nan, target=nan)"
Brazil,1980-1985,"因子 energy_consumption/GDP 无效 (base=nan, target=nan)"
Brazil,1985-1990,"因子 energy_consumption/GDP 无效 (base=nan, target=14.650872817955111)"
Bulgaria,1975-1980,"因子 energy_consumption/GDP 无效 (base=nan, target=60.99026792362829)"
Croatia,1975-1980,"CFP无效 (base=nan, target=nan)"
Croatia,1980-1985,"CFP无效 (base=nan, target=nan)"
Croatia,1985-1990,"CFP无效 (base=nan, target=nan)"
Croatia,1990-1995,"CFP无效 (base=nan, target=84.46072270433882)"
Czechia,1975-1980,"因子 energy_consumption/GDP 无效 (base=nan, target=nan)"
Czechia,1980-1985,"因子 energy_consumption/GDP 无效 (base=nan, target=nan)"
Czechia,1985-1990,"因子 energy_consumption/GDP 无效 (base=nan, target=48.36854291358302)"
Estonia,1975-1980,"CFP无效 (base=nan, target=nan)"
Estonia,1980-1985,"CFP无效 (base=nan, target=274.14079954277884)"
Estonia,1985-1990,"因子 energy_consumption/GDP 无效 (base=nan, target=nan)"
Estonia,1990-1995,"因子 energy_consumption/GDP 无效 (base=nan, target=48.856633858642745)"
Kazakhstan,1975-1980,"CFP无效 (base=nan, target=nan)"
Kazakhstan,1980-1985,"CFP无效 (base=nan, target=154.7396311645293)"
Kazakhstan,1985-1990,"因子 energy_consumption/GDP 无效 (base=nan, target=114.73333333167483)"
Kuwait,1975-1980,"CFP无效 (base=nan, target=174.20796551570473)"
Latvia,1975-1980,"CFP无效 (base=nan, target=nan)"
Latvia,1980-1985,"CFP无效 (base=nan, target=269.85734858665586)"
Latvia,1985-1990,"因子 energy_consumption/GDP 无效 (base=nan, target=nan)"
