region,Years,grad(cement_CS/built_surface),grad(cement_CS),tapio_elasticity
Africa,1975 - 1980,0.12125656042870754,0.26186674902509566,0.4630468010166769
Africa,1980 - 1985,0.18926926570597752,0.363951753211636,0.5200394393921726
Africa,1985 - 1990,0.09032256001536845,0.2536515163027704,0.35608917830223097
Africa,1990 - 1995,0.18765259010719337,0.31087237325263517,0.6036322499287984
Africa,1995 - 2000,0.10414348346677445,0.23131254720889322,0.45022842350495057
Africa,2000 - 2005,0.07648713998828513,0.1619034965870165,0.47242426260495507
Africa,2005 - 2010,0.4452281856599649,0.5765499843951508,0.7722282503000092
Africa,2010 - 2015,0.042934974011872754,0.14839307461550943,0.28933273417993705
Africa,2015 - 2020,-0.17486498221812213,-0.07269849038675447,2.405345438231854
Americas,1975 - 1980,0.3335872341644389,0.4538172086225313,0.7350696003286749
Americas,1980 - 1985,0.0028399680442050454,0.09328026151420088,0.03044554119064827
Americas,1985 - 1990,-0.03310781365553559,0.05213138276602492,-0.6350841258926403
Americas,1990 - 1995,-0.046904487513830966,0.05699755605914447,-0.8229210295465956
Americas,1995 - 2000,0.16439774061236007,0.2910412854881971,0.5648605500645615
Americas,2000 - 2005,-0.010843598040654613,0.05676018115755782,-0.19104234376127865
Americas,2005 - 2010,0.22923321087184773,0.3169987756476806,0.7231359502997657
Americas,2010 - 2015,0.057083144050842555,0.12990790120922585,0.4394124107886719
Americas,2015 - 2020,0.004766984064101151,0.06554829288321434,0.07272476298649547
Asia,1975 - 1980,0.42723380720893245,0.6723595807567267,0.6354245844583484
Asia,1980 - 1985,0.09102163756207171,0.3050032148260396,0.2984284530049509
Asia,1985 - 1990,0.1339340327630933,0.3558356689465483,0.3763929376714962
Asia,1990 - 1995,0.3521828639827048,0.5502545572826751,0.6400362510796662
Asia,1995 - 2000,0.07888642853799241,0.24392348029579392,0.32340645698532483
Asia,2000 - 2005,0.3480842523882735,0.5023740429566088,0.6928786573838536
Asia,2005 - 2010,0.3656534386065771,0.5379210826934582,0.6797529421522038
Asia,2010 - 2015,0.1592347435764301,0.3051671182362688,0.5217952199330538
Asia,2015 - 2020,0.006855295894181281,0.12380845138715876,0.055370177216288986
Europe,1975 - 1980,0.05756326259980511,0.1355955669714494,0.4245217147248292
Europe,1980 - 1985,-0.10766453240624956,-0.0451724847101495,2.3834095710493237
Europe,1985 - 1990,-0.05742466496822558,0.00526743500979874,-10.901826953992108
Europe,1990 - 1995,-0.13658467371396874,-0.06023488112151564,2.267534544285525
Europe,1995 - 2000,0.008279823165726223,0.09426189909505191,0.08783849302014388
Europe,2000 - 2005,0.006151148299927283,0.07529451939550523,0.08169450245929162
Europe,2005 - 2010,-0.08377082948639944,-0.022344876558875012,3.7489949548692882
Europe,2010 - 2015,-0.08638205820966256,-0.031027164059746187,2.7840784302208377
Europe,2015 - 2020,0.06917820045028683,0.11591480716467038,0.5968021009775843
Oceania,1975 - 1980,-0.09507456180542903,-0.009021676725517272,10.538458060297852
Oceania,1980 - 1985,-0.02956086293961396,0.08050299897212754,-0.36720200883259996
Oceania,1985 - 1990,-0.125839003480612,-0.01416204862655616,8.885649724761096
Oceania,1990 - 1995,-0.0637480883448496,-0.0010079085391853076,63.247889928958415
Oceania,1995 - 2000,0.0692047965474387,0.15581044422470577,0.4441601902349585
Oceania,2000 - 2005,0.264952281585551,0.32930968379095454,0.8045687528391738
Oceania,2005 - 2010,0.08585665883234482,0.15330690946477266,0.5600312414625593
Oceania,2010 - 2015,0.15257551145297846,0.2366650673273191,0.6446896163258401
Oceania,2015 - 2020,0.014126672825582866,0.12357207869781116,0.11431929424873463
Unknown,1975 - 1980,0.008959841959069592,0.08482793351249654,0.10562372072578735
Unknown,1980 - 1985,-0.020331684183861654,0.05201900693966768,-0.3908510634861332
Unknown,1985 - 1990,0.04876197500590501,0.12416965133169465,0.3927044530039554
Unknown,1990 - 1995,-0.07277298494956212,0.025034777740994798,-2.9068756152923756
Unknown,1995 - 2000,-0.05018339697896894,0.04921358532712164,-1.0197061775808647
Unknown,2000 - 2005,0.17605915357632404,0.2605781440966982,0.6756481983039608
Unknown,2005 - 2010,0.07679062910714443,0.15434721066449436,0.4975187356904348
Unknown,2010 - 2015,0.07977971316549154,0.14942488928287306,0.5339118104646026
Unknown,2015 - 2020,0.021165097773251314,0.062253466685525,0.33998263711428883
