ISO_A3,NAM_0,year,total_vol,total_fp,building_height,total_surface_area
ABW,Aruba (Neth.),2000,118422011.0,15763181.0,7.512570654362213,15882489.254512027
AFG,Afghanistan,2000,1551967105.0,356973020.0,4.347575357375748,357301587.6537009
AGO,Angola,2000,4168547519.0,747389233.0,5.5774786884038505,747999150.82986
AIA,Anguilla (U.K.),2000,8019100.0,2743060.0,2.9234139975064344,2762427.25037269
ALA,Aaland (Fin.),2000,7676634.0,2481241.0,3.093868753579358,2500734.793090218
ALB,Albania,2000,725692276.0,167741864.0,4.326244258261014,167965989.75192723
AND,Andorra,2000,7179351.0,1646128.0,4.361356468026788,1668510.7465410605
ARE,United Arab Emirates,2000,3426047837.0,383522559.0,8.933106427776,384222333.2487925
ARG,Argentina,2000,19291429722.0,3204492579.0,6.020119955472052,3205855732.526432
ARM,Armenia,2000,1258916334.0,181844918.0,6.923021813565337,182218345.48140404
ASM,American Samoa (U.S.),2000,14492965.0,3613483.0,4.0108020433470974,3643979.796851121
ATF,French Southern and Antarctic Lands (Fr.),2000,204936.0,81947.0,2.5008359061344527,84810.59580181162
ATG,Antigua and Barbuda,2000,42602883.0,9737178.0,4.375280291682046,9791789.288848916
AUS,Australia,2000,23676122492.0,3747942982.0,6.317097833587053,3749489924.181735
AUS,Australia,2000,23676122492.0,,0.0,0.0
AUS,Ashmore and Cartier Islands (Aus.),2000,,3747942982.0,,
AUS,Ashmore and Cartier Islands (Aus.),2000,,,0.0,0.0
AUT,Austria,2000,4109673456.0,883056051.0,4.6539214032292495,883609239.5357765
AZE,Azerbaijan,2000,3278536163.0,587971380.0,5.576013177716235,588512211.3725886
BDI,Burundi,2000,715495732.0,160047114.0,4.4705319209942145,160273340.31179386
BEL,Belgium,2000,7083919774.0,1164797991.0,6.081672383310283,1165628239.9193501
BEN,Benin,2000,2202887571.0,406476804.0,5.41946686581407,406913857.33679354
BES,"Bonaire, Sint Eustatius and Saba (Neth.)",2000,282788.0,113106.0,2.5002033490707833,116469.39710335138
BES,"Bonaire, Sint Eustatius and Saba (Neth.)",2000,282788.0,394389.0,0.717028111838819,396190.18603454804
BES,"Bonaire, Sint Eustatius and Saba (Neth.)",2000,282788.0,1220045.0,0.2317848931801696,1221069.0780155642
BES,"Bonaire, Sint Eustatius and Saba (Neth.)",2000,1243417.0,113106.0,10.993377893303627,127894.83522659329
BES,"Bonaire, Sint Eustatius and Saba (Neth.)",2000,1243417.0,394389.0,3.152767952453035,402308.8032997142
BES,"Bonaire, Sint Eustatius and Saba (Neth.)",2000,1243417.0,1220045.0,1.01915667045068,1224547.8643856137
BES,"Bonaire, Sint Eustatius and Saba (Neth.)",2000,6707679.0,113106.0,59.304360511378704,192885.156537091
BES,"Bonaire, Sint Eustatius and Saba (Neth.)",2000,6707679.0,394389.0,17.007774050493296,437112.79923840833
BES,"Bonaire, Sint Eustatius and Saba (Neth.)",2000,6707679.0,1220045.0,5.4978947497838195,1244335.940914616
