ISO_A3,year,total_vol,total_fp,building_height,total_surface_area
ABW,1975,315297690.0,44462220.0,7.091361834834158,44651360.794350766
ABW,1980,452264100.0,63048360.0,7.173288884913105,63276192.25554167
ABW,1985,619665750.0,85965000.0,7.208349328214971,86232335.51033053
ABW,1990,1031745840.0,146057910.0,7.063950456363507,146399393.856071
ABW,1995,1370479230.0,187203270.0,7.320808178190477,187603929.76698488
ABW,2000,1776330165.0,236447715.0,7.512570654362213,236909793.88279015
ABW,2005,1882735830.0,251714415.0,7.479650420497372,252189088.88118657
ABW,2010,1992607965.0,267606585.0,7.446034876159718,268093814.36532032
ABW,2015,2121276375.0,286148100.0,7.413211462875343,286649704.94956213
ABW,2020,2354065740.0,321343410.0,7.325701000060963,321868693.6452162
ABW,2025,2354065740.0,321343410.0,7.325701000060963,321868693.6452162
ABW,2030,2379279900.0,326559795.0,7.285893537506661,327086447.52373576
AFG,1975,13989301515.0,2977076985.0,4.6990056305178145,2978102544.800975
AFG,1980,15370832580.0,3335057100.0,4.608866390923262,3336121747.274385
AFG,1985,17255388945.0,3840614340.0,4.492872081761794,3841728081.479884
AFG,1990,19453571055.0,4447531830.0,4.374015026442206,4448698639.064843
AFG,1995,21184134090.0,4838599605.0,4.378153974160051,4839817783.317688
AFG,2000,23279506575.0,5354595300.0,4.347575357375748,5355867837.050886
AFG,2005,25611198285.0,5914538790.0,4.330210553070022,5915870867.36166
AFG,2010,28726310565.0,6708833880.0,4.281863447332817,6710236746.432331
AFG,2015,32453235750.0,7728518760.0,4.1991533899052085,7729995383.797251
AFG,2020,36433447950.0,9024993510.0,4.03695004429981,9026527550.46526
AFG,2025,38213324745.0,9704752440.0,3.937588823749532,9706304050.056343
AFG,2030,39294481590.0,10119567255.0,3.8830199552836513,10121129721.031101
AGO,1975,41651818890.0,6873447825.0,6.05981451383171,6875457411.21268
AGO,1980,45243555375.0,7629996030.0,5.929695795005545,7632067862.116976
AGO,1985,49930865985.0,8627370435.0,5.787495316352438,8629520689.507837
AGO,1990,55194788475.0,9759575985.0,5.655449433441754,9761810805.208284
AGO,1995,58376803215.0,10366593375.0,5.6312426949996,10368886787.990849
AGO,2000,62528212785.0,11210838495.0,5.5774786884038505,11213200696.597603
AGO,2005,66027748020.0,12037347315.0,5.485240750486728,12039754564.36507
AGO,2010,70859414445.0,13244353815.0,5.350160184088981,13246816688.82651
AGO,2015,78343242525.0,15181062495.0,5.160590212365106,15183605870.30248
AGO,2020,93283110615.0,19217645250.0,4.854034373175871,19220336864.906666
